"id","max_length","generation_method","n_retrieval_docs","top_k","userprompt","n_tokens","doc_indices","predicted","gold","logits","bleu","rouge","correct"
"0","20","beam","5","20",". Why did Ronnie and Mom go to the Davis house after being kicked out?. Answer one of the following options: 1) They needed to hide from the authorities 2) They new that they would be able to read at the Davis house 3) Mr. Davis had offered Ronnie a place to stay whenever 4) Mr. Davis and his son had been evicted and the house was empty. Answer: ","83","240,93,296,155,102","A) The Davis family had been evicted from their home.","2","19.037708282470703,26.602134704589844,31.034427642822266,31.820720672607422,37.71833038330078,39.96104431152344,32.90975570678711,41.56256103515625,40.26344299316406,31.68596649169922,44.05743408203125,41.43329620361328,36.574867248535156,44.12150955200195","0","0","0"
"1","20","beam","5","20",". What is the author’s thesis?. Answer one of the following options: 1) That even Keynesian economists are misinterpreting some of the intentions of Keynes’ original theories 2) There are so many unknowns in Keynes’ theories that it has come time to develop a new set of economic theories separate from his 3) Keynesian economists are more united than divided 4) It’s not possible to know what Keynes’ true intentions were. Answer: ","99","240,93,296,155,102","1) The economist John Maynard Keynes is the father of modern macroeconomics.","1","17.40260887145996,26.40967559814453,40.73201370239258,37.049293518066406,37.586883544921875,22.21491241455078,16.733821868896484,28.144004821777344,27.359882354736328,24.106000900268555,29.39914321899414,40.26949691772461,37.3543586730957,30.238969802856445,46.047279357910156,21.186092376708984,21.213829040527344,38.45916748046875,36.441322326660156,51.18744659423828","0","0.15384615384615385","0"
"2","20","beam","5","20",". What does the author credit the recent dramatic change in politics to? . Answer one of the following options: 1) The internet as a political tool 2) Geopolitical tension 3) Government dysfunction 4) The Democratic Party. Answer: ","49","240,93,296,155,102","The clock ticked on.","1","19.25286865234375,27.312299728393555,39.65574264526367,39.8814811706543,51.525611877441406,37.63572311401367,34.73809051513672","0","0","0"
"3","20","beam","5","20",". What is the author's overall feeling towards modern dentistry as a whole in this passage?. Answer one of the following options: 1) Apathetic; the author reports the developments in the dental industry in an unbiased manor 2) Negative; the author believes that all of the advancements of modern dentistry are an unnecessary scam  3) Positive; the author implies that modern dentistry has only improved the dental hygiene of the public 4) Mixed; the author acknowledges both positives and negative aspects of modern dentistry. Answer: ","107","240,93,296,155,102","4) Mixed

[Transcriber's Note: This story was originally published in the","4","18.987096786499023,32.234039306640625,37.36863327026367,49.49065399169922,40.50660705566406,18.744691848754883,17.931774139404297,20.43421745300293,21.7412166595459,27.17828369140625,37.373512268066406,36.44820022583008,34.11668014526367,26.924291610717773,25.80940055847168,27.072296142578125,22.290414810180664,28.26634979248047,34.28822326660156,21.8370361328125","0","0.15384615384615385","0"
"4","20","beam","5","20",". What level of depth does the author provide on the subjects they use to make their case?. Answer one of the following options: 1) Language is really the only thing covered in any depth 2) A broad, but not very deep assessment 3) They provide the reader with deeper arguments about the monetary system and striking tendencies than anything else 4) They provide deep, explanatory statistics to most arguments. Answer: ","82","240,93,296,155,102","1) Restrictions on language are the only thing covered in any depth.","2","20.52960777282715,30.537282943725586,47.42569351196289,41.82612609863281,24.754011154174805,43.31260681152344,40.9893798828125,43.39995193481445,37.24319839477539,44.354251861572266,47.14124298095703,42.782196044921875,37.11954879760742,50.3491096496582,50.77088928222656,56.89562225341797,52.251251220703125","0","0","0"
"5","20","beam","5","20",". Why was a Dr. able to examine Parks without being suspicious?. Answer one of the following options: 1) The Dr. was not trained very well 2) Parks used a special technique to confuse and manipulate the Dr. 3) The anatomy of the beings on Parks' planet was almost identical to humans 4) Parks had too strong of a disguise. Answer: ","74","209,135,272,125,325","1) The Dr.","3","19.102191925048828,25.241634368896484,41.577999114990234,37.14228820800781,41.741722106933594,59.78168487548828","0","0","0"
"6","20","beam","5","20",". What role does technology play in Tannen’s views?. Answer one of the following options: 1) It allows the facts to surface and be shared 2) It allows the public to communicate clearly and carefully with each other 3) It can spread misinformation, and enable ready critiquing of each other 4) It supports the first amendment of which there is no criticism. Answer: ","80","209,135,272,125,325","""I don't know.""

Morgan sat back in his chair, staring at the","3","17.755033493041992,30.514022827148438,41.781768798828125,52.53882598876953,58.40657424926758,56.01853942871094,52.4200439453125,47.92388916015625,19.523908615112305,19.275386810302734,35.500831604003906,41.81439208984375,33.935733795166016,36.93940353393555,48.855464935302734,25.977523803710938,42.1831169128418,39.99912643432617,36.045780181884766,53.46220779418945","0","0","0"
"7","20","beam","5","20",". What does the author think that social media has the power to amplify?. Answer one of the following options: 1) Both Positive and Negative Social Behaviors 2) Negative Social Interactions 3) Antisocial Behaviors 4) Positive Altruistic Behavior. Answer: ","57","209,135,272,125,325","1) 2) 3) 4) 5) 6)

The Counterfeit Man is","1","20.890254974365234,26.878013610839844,46.80669403076172,42.96569061279297,38.41442108154297,40.16084289550781,44.860557556152344,41.61936569213867,48.59930419921875,38.44168472290039,42.1226692199707,35.90651321411133,39.837646484375,33.978553771972656,20.847307205200195,21.356016159057617,49.51994323730469,40.09119415283203,26.338634490966797,39.80381774902344","0","0.18181818181818182","0"
"8","20","beam","5","20",". What does the author suggest are some traits Said possesses?. Answer one of the following options: 1) Boldness, confidence 2) Vanity, disorganization 3) Inventiveness, shyness 4) Charisma, people-pleasing. Answer: ","53","209,135,272,125,325","1) 2) 3) 4)

Transcriber's Note:
This et","1","20.08963966369629,24.758010864257812,41.03628158569336,38.49696731567383,32.23835754394531,38.23274230957031,33.04668045043945,38.522193908691406,40.830162048339844,30.862197875976562,16.64668846130371,20.91341781616211,23.567821502685547,29.035354614257812,31.52987289428711,25.98885154724121,34.650672912597656,35.30080795288086,21.63178062438965,27.98164176940918","0","0.19999999999999998","0"
"9","20","beam","5","20",". What is a message of this article?. Answer one of the following options: 1) Technology will continue to change 2) It is important to understand the history of trains 3) Birmingham is a progressive city 4) Maglev was a failure. Answer: ","52","209,135,272,125,325","1) The history of trains is a history of human ingenuity.","1","19.56063461303711,26.38426971435547,37.59381103515625,32.09353256225586,37.47734832763672,40.792640686035156,43.324378967285156,36.12355041503906,34.86793518066406,32.408363342285156,48.26299285888672,37.688636779785156,32.25602340698242,26.893911361694336,34.16035079956055,38.04288101196289","0","0.16666666666666669","0"
"10","20","beam","5","20",". What caused Skippy to start hearing different voices?. Answer one of the following options: 1) Using his telepathy too much 2) Being hit in the head by Henry 3) Spending too much on his own 4) Getting over excited by winning too much money. Answer: ","58","255,181,212,269,315","5) Being too careful with money.","2","18.73961067199707,22.33946990966797,25.537126541137695,49.293296813964844,43.1956672668457,36.95362091064453,39.70497512817383,29.552547454833984,32.116485595703125","0","0","0"
"11","20","beam","5","20",". What was different about the Kung Fu class?. Answer one of the following options: 1) Participants sparred with each other.  2) The author was not allowed to participate, but was only allowed to watch.  3) The participants wore uniforms.  4) The class was done in the park. . Answer: ","69","255,181,212,269,315","1) The class was done in the park.","2","17.86883544921875,29.11337661743164,47.35628890991211,43.21187973022461,43.50930404663086,44.293487548828125,46.36333465576172,51.3825798034668,44.23697280883789,46.815460205078125,49.89250564575195","0","0","0"
