"experiment","id","max_length","n_retrieval_docs","top_k","generation_method","embedding_id","userprompt","n_tokens","docs_ids","similarities","perplexity"
"rag","240","15","5","1","beam","facebook/contriever",". Question: Why did Ronnie and Mom go to the Davis house after being kicked out? 1) They needed to hide from the authorities 2) They new that they would be able to read at the Davis house 3) Mr. Davis had offered Ronnie a place to stay whenever 4) Mr. Davis and his son had been evicted and the house was empty. Answer: ","162","240_13","0.44322478771209717","37.27434158325195"
"rag","93","15","5","1","beam","facebook/contriever",". Question: What is the author’s thesis? 1) That even Keynesian economists are misinterpreting some of the intentions of Keynes’ original theories 2) There are so many unknowns in Keynes’ theories that it has come time to develop a new set of economic theories separate from his 3) Keynesian economists are more united than divided 4) It’s not possible to know what Keynes’ true intentions were. Answer: ","160","93_4","0.46049588918685913","19.26703643798828"
"rag","296","15","5","1","beam","facebook/contriever",". Question: What does the author credit the recent dramatic change in politics to?  1) The internet as a political tool 2) Geopolitical tension 3) Government dysfunction 4) The Democratic Party. Answer: ","82","296_19","0.5203071236610413","53.668601989746094"
"rag","155","15","5","1","beam","facebook/contriever",". Question: What is the author's overall feeling towards modern dentistry as a whole in this passage? 1) Apathetic; the author reports the developments in the dental industry in an unbiased manor 2) Negative; the author believes that all of the advancements of modern dentistry are an unnecessary scam  3) Positive; the author implies that modern dentistry has only improved the dental hygiene of the public 4) Mixed; the author acknowledges both positives and negative aspects of modern dentistry. Answer: ","196","155_24","0.5383203029632568","19.602109909057617"
"rag","102","15","5","1","beam","facebook/contriever",". Question: What level of depth does the author provide on the subjects they use to make their case? 1) Language is really the only thing covered in any depth 2) A broad, but not very deep assessment 3) They provide the reader with deeper arguments about the monetary system and striking tendencies than anything else 4) They provide deep, explanatory statistics to most arguments. Answer: ","128","93_14","0.5922878384590149","67.64164733886719"
"rag","209","15","5","1","beam","facebook/contriever",". Question: Why was a Dr. able to examine Parks without being suspicious? 1) The Dr. was not trained very well 2) Parks used a special technique to confuse and manipulate the Dr. 3) The anatomy of the beings on Parks' planet was almost identical to humans 4) Parks had too strong of a disguise. Answer: ","163","209_23","0.5686858892440796","31.719219207763672"
"rag","135","15","5","1","beam","facebook/contriever",". Question: What role does technology play in Tannen’s views? 1) It allows the facts to surface and be shared 2) It allows the public to communicate clearly and carefully with each other 3) It can spread misinformation, and enable ready critiquing of each other 4) It supports the first amendment of which there is no criticism. Answer: ","103","135_35","0.3903452157974243","47.00593566894531"
"rag","272","15","5","1","beam","facebook/contriever",". Question: What does the author think that social media has the power to amplify? 1) Both Positive and Negative Social Behaviors 2) Negative Social Interactions 3) Antisocial Behaviors 4) Positive Altruistic Behavior. Answer: ","141","272_12","0.5060379505157471","34.566890716552734"
"rag","125","15","5","1","beam","facebook/contriever",". Question: What does the author suggest are some traits Said possesses? 1) Boldness, confidence 2) Vanity, disorganization 3) Inventiveness, shyness 4) Charisma, people-pleasing. Answer: ","131","125_12","0.6441916227340698","36.34171676635742"
"rag","325","15","5","1","beam","facebook/contriever",". Question: What is a message of this article? 1) Technology will continue to change 2) It is important to understand the history of trains 3) Birmingham is a progressive city 4) Maglev was a failure. Answer: ","150","325_17","0.5026753544807434","52.88631820678711"
"rag","255","15","5","1","beam","facebook/contriever",". Question: What caused Skippy to start hearing different voices? 1) Using his telepathy too much 2) Being hit in the head by Henry 3) Spending too much on his own 4) Getting over excited by winning too much money. Answer: ","148","255_43","0.45988690853118896","66.8919906616211"
"rag","181","15","5","1","beam","facebook/contriever",". Question: What was different about the Kung Fu class? 1) Participants sparred with each other.  2) The author was not allowed to participate, but was only allowed to watch.  3) The participants wore uniforms.  4) The class was done in the park. . Answer: ","153","181_16","0.45615774393081665","27.755733489990234"
