"id","max_length","generation_method","n_retrieval_docs","top_k","userprompt","n_tokens","doc_indices","predicted","gold","logits","bleu","rouge","correct"
"0","20","beam","1","50","Answer the question: who sang theme song for license to kill?","20","60","Licence to Kill is a 1989 James Bond film directed by","Gladys Knight,Gladys Knight,Gladys Knight,Gladys Knight,Gladys Knight","14.918545722961426,13.544373512268066,28.603429794311523,54.28730773925781,47.902767181396484,27.774900436401367,39.852874755859375,35.224647521972656,31.109464645385742,52.47994613647461,32.79412841796875,42.206268310546875,49.37825012207031,15.323009490966797,24.303424835205078","0","0","0"
"1","20","beam","1","50","Answer the question: a concave mirror can form a real image which is a copy of an object that forms?","22","23","A real image is an image that is formed by a lens or a mirror and is located in","inverted","37.05150604248047,13.768709182739258,46.847354888916016,38.379638671875,47.91408920288086,48.71247100830078,31.672443389892578,43.6607780456543,48.27823257446289,39.16328811645508,31.287029266357422,32.220489501953125,29.535181045532227,42.70173645019531,40.11235809326172,32.30213928222656,36.856510162353516,32.04096984863281,32.26918411254883,29.648488998413086","0","0","0"
"2","20","beam","1","50","Answer the question: who wore number 7 for the green bay packers?","20","93","The Green Bay Packers are an American football team in the National Football League (NFL).","Don Majkowski,Don Majkowski,Quarterback Don Majkowski,Quarterback Don Majkowski,Don Majkowski","17.341026306152344,13.71463394165039,50.50525665283203,55.325016021728516,54.60595703125,37.74993133544922,43.33149337768555,54.69997787475586,55.36409378051758,57.97957229614258,53.21292495727539,46.43726348876953,60.20915222167969,60.5560302734375,54.03302764892578,53.43693542480469,40.886837005615234,35.67533493041992,50.34572219848633,37.62091064453125","0","0","0"
"3","20","beam","1","50","Answer the question: where does patience is a virtue come from?","20","74","| | | | | | | | | | | | | | | | | | |","`` Psychomachia , ''","26.294614791870117,22.715072631835938,15.983534812927246,22.474611282348633,24.329242706298828,22.577499389648438,20.959928512573242,25.274566650390625,25.740886688232422,24.95186996459961,25.734169006347656,30.803001403808594,35.641746520996094,39.551048278808594,44.19657516479492,47.07762145996094,47.599735260009766,47.88412857055664,47.431915283203125,47.129547119140625","0","0","0"
"4","20","beam","1","50","Answer the question: who wrote ain't living long like this?","20","38","Ain't Living Long Like This is a song written by Rodney Crowell and recorded by","Rodney Crowell","22.01053810119629,16.2330265045166,26.73069190979004,36.800636291503906,48.92708206176758,52.396087646484375,54.34235382080078,41.264244079589844,22.81407928466797,45.98878860473633,39.02510070800781,47.48487854003906,50.76304626464844,37.74336624145508,43.57099151611328,44.691810607910156,31.66446876525879,38.661014556884766,23.073139190673828,36.004661560058594","0.03868052697542155","0.2222222222222222","0"
"5","20","beam","1","50","Answer the question: who played the mom on what's eating gilbert grape?","20","25","Darlene Cates, Actress: What's Eating Gilbert Grape. Retrieved","Darlene Cates,Darlene Cates,Darlene Cates","18.759422302246094,15.89747428894043,47.07676696777344,27.451040267944336,30.69285774230957,38.69157409667969,17.190521240234375,17.327363967895508,39.05432891845703,29.971261978149414,49.404388427734375,50.512516021728516,49.08942794799805,57.89280700683594,50.679595947265625,27.97608184814453,31.38309097290039,22.62165069580078,22.53597068786621,28.646259307861328","0.028599617161713803","0.3636363636363636","0"
"6","20","beam","1","50","Answer the question: where do secondary xylem and phloem cells arise from?","20","92","The vascular cambium is a layer of cells in the stem and roots of trees and other vascular","The vascular cambium,the vascular cambium,the vascular cambium,the vascular cambium","25.324085235595703,18.24922752380371,36.49014663696289,32.9036750793457,29.21746063232422,32.22644805908203,33.879127502441406,20.81262969970703,39.94870376586914,17.179302215576172,32.66657257080078,20.87984848022461,21.10735321044922,31.159334182739258,20.78719711303711,39.198116302490234,23.005691528320312,44.00469207763672,21.147005081176758,22.668031692504883","0.07490792309814948","0.2857142857142857","0"
"7","20","beam","1","50","Answer the question: who added a press room to the white house?","20","52"," The New York Times

The James S.","President Richard Nixon,President Richard Nixon,Richard Nixon,Richard Nixon,President Richard Nixon","20.58670425415039,36.242393493652344,35.597129821777344,52.368099212646484,56.871280670166016,22.93950080871582,14.392200469970703,12.960779190063477,47.975494384765625,58.384429931640625,50.534202575683594","0","0","0"
"8","20","beam","1","50","Answer the question: nodding your head no is an example of?","20","91","
A: a gesture of agreement or agreement

A: a gesture of refusal or disagreement","a gesture","30.08800506591797,19.892642974853516,28.828609466552734,45.259891510009766,37.35453414916992,43.07537078857422,44.76911926269531,43.46063995361328,48.679412841796875,29.73586082458496,45.70233154296875,26.829795837402344,19.76677131652832,40.40985107421875,42.14799499511719,49.693809509277344,44.991302490234375,43.44297790527344,49.2870979309082,41.19560241699219","0.041263216881455095","0.25","0"
"9","20","beam","1","50","Answer the question: who sings the theme tune to mum on bbc2?","20","33","Mum is a British sitcom created by and starring Lesley Manville as a middle-","Lulu and the Lampshades,Lulu and the Lampshades,Lulu and the Lampshades,Lulu and the Lampshades,Lulu and the Lampshades","18.667346954345703,20.11195182800293,36.27825164794922,30.92744255065918,44.006919860839844,44.34931564331055,31.13054847717285,30.169912338256836,44.545387268066406,45.645816802978516,46.88001251220703,34.044647216796875,35.80595016479492,39.49182891845703,39.33792495727539,32.772369384765625,46.02932357788086,18.789487838745117,22.796436309814453,42.009124755859375","0.01758542189440898","0.11111111111111112","0"
