"experiment","id","userprompt","perplexity"
"baseline","60","Question: who sang theme song for license to kill? Answer:","138.8905487060547"
"baseline","23","Question: a concave mirror can form a real image which is a copy of an object that forms? Answer:","60.034889221191406"
"baseline","93","Question: who wore number 7 for the green bay packers? Answer:","72.61219787597656"
"baseline","74","Question: where does patience is a virtue come from? Answer:","289.61566162109375"
"baseline","38","Question: who wrote ain't living long like this? Answer:","302.6772155761719"
"baseline","25","Question: who played the mom on what's eating gilbert grape? Answer:","43.14825439453125"
"baseline","92","Question: where do secondary xylem and phloem cells arise from? Answer:","28.603843688964844"
"baseline","52","Question: who added a press room to the white house? Answer:","100.52461242675781"
"baseline","91","Question: nodding your head no is an example of? Answer:","98.48937225341797"
"baseline","33","Question: who sings the theme tune to mum on bbc2? Answer:","61.63398742675781"
"baseline","68","Question: who played the detective in little boy blue? Answer:","68.70570373535156"
"baseline","31","Question: when was the first horrid henry book written? Answer:","109.60957336425781"
"baseline","81","Question: who plays grace in the secret life of the american teenager? Answer:","34.20222473144531"
"baseline","63","Question: who has won the canada open women's doubles? Answer:","152.0534210205078"
"baseline","45","Question: where does the last name waller come from? Answer:","51.33858871459961"
"baseline","53","Question: who wrote how do you do it by gerry and the pacemakers? Answer:","49.68396759033203"
"baseline","67","Question: what type of reproduction do whiptail lizards use? Answer:","51.64165115356445"
"baseline","78","Question: who sings i don't want to be lonely? Answer:","48.51723861694336"
"baseline","27","Question: who wrote song what a friend we have in jesus? Answer:","26.1934814453125"
"baseline","39","Question: who is the original singer of just when i needed you most? Answer:","70.79078674316406"
"baseline","69","Question: what allows chyme to enter the small intestine? Answer:","120.38577270507812"
"baseline","42","Question: where would the group bacteroids likely be found? Answer:","208.7381591796875"
"baseline","66","Question: where does the last name andersen originate from? Answer:","45.80769729614258"
"baseline","9","Question: how long did the democrats control the house and senate? Answer:","43.128929138183594"
"baseline","26","Question: who sang in the movie i walk the line? Answer:","86.00728607177734"
"baseline","59","Question: who is the premier of northern cape 2018? Answer:","142.70883178710938"
"baseline","18","Question: who owns the biggest house in beverly hills? Answer:","72.07272338867188"
"baseline","89","Question: who sings god is great beer is good? Answer:","141.41270446777344"
"baseline","87","Question: what does the air gap do on a dishwasher? Answer:","87.64413452148438"
"baseline","97","Question: who is the first indian climber of mount everest? Answer:","29.62512969970703"
"baseline","7","Question: what is in a pat o brien hurricane? Answer:","271.6781311035156"
"baseline","44","Question: what is the name of son of lord krishna? Answer:","37.55231475830078"
"baseline","84","Question: who played anna in once upon a time? Answer:","155.55575561523438"
"baseline","96","Question: what is the average salary for a us congressman? Answer:","28.799650192260742"
"baseline","15","Question: what type of joint connects the incus with the malleus? Answer:","81.28683471679688"
"baseline","17","Question: when was the lupus foundation of america founded? Answer:","24.41481590270996"
"baseline","41","Question: what started the war between us and japan? Answer:","50.002960205078125"
"baseline","24","Question: who sang i put a spell on you in hocus pocus? Answer:","30.816118240356445"
"baseline","21","Question: who played jennifer in back to the future? Answer:","38.75421905517578"
"baseline","22","Question: where are the cardiac and vasomotor centers found? Answer:","80.17796325683594"
"baseline","50","Question: who was the first to say i'm going to disney world? Answer:","37.03628921508789"
"baseline","12","Question: who sings the whiskey ain't workin anymore? Answer:","143.28561401367188"
"baseline","20","Question: this inventor co-created the film fred ott’s sneeze? Answer:","228.1435546875"
"baseline","71","Question: what goes on the bottom of shepherd's pie? Answer:","45.89268112182617"
"baseline","75","Question: who sang the most number of songs in the world? Answer:","30.37921714782715"
"baseline","57","Question: who owns spirit of the suwannee music park? Answer:","87.72843170166016"
"baseline","36","Question: who is the singer of kal ho na ho? Answer:","27.41393280029297"
"baseline","13","Question: what episode does marnie come back in geordie shore? Answer:","82.95147705078125"
"baseline","55","Question: is jaffa cakes a biscuit or a cake? Answer:","14.843859672546387"
"baseline","14","Question: who sings love will keep us alive by the eagles? Answer:","45.11223602294922"
"baseline","70","Question: who sings the theme song for the tv show cops? Answer:","28.278182983398438"
"baseline","2","Question: when did 10 shilling note go out of circulation? Answer:","135.17747497558594"
"baseline","47","Question: who sang the songs on walk the line? Answer:","98.41294860839844"
"baseline","77","Question: who sang the song should have been a cowboy? Answer:","46.64625930786133"
"baseline","1","Question: who sang i ran all the way home? Answer:","124.64301300048828"
"baseline","16","Question: what is the second largest country in asia? Answer:","19.101036071777344"
"baseline","32","Question: who sang the theme song for the man with the golden gun? Answer:","20.489429473876953"
"baseline","54","Question: where does the last name roberts come from? Answer:","22.86875343322754"
"baseline","83","Question: what type of plate boundary is associated with iceland and its volcanic eruptions? Answer:","50.43129348754883"
"baseline","51","Question: who is the captain of richmond football club? Answer:","95.43109130859375"
"baseline","80","Question: what's the difference between salisbury steak and hamburger steak? Answer:","7.927638530731201"
"baseline","79","Question: where is the heart of palm on a palm tree? Answer:","68.77925872802734"
"baseline","61","Question: who won the 10m air pistol gold medal at commonwealth shooting championship in brisbane australia? Answer:","32.32381820678711"
"baseline","46","Question: how old do you have to be to get a gun licence in nz? Answer:","23.707212448120117"
"baseline","65","Question: what is the meaning of gorakh dhanda in urdu? Answer:","40.4957160949707"
"baseline","29","Question: when did the song things that make you go hmmm come out? Answer:","38.487998962402344"
"baseline","98","Question: cast of the have and have nots play? Answer:","159.4206085205078"
"baseline","8","Question: where does the last name orozco originate from? Answer:","125.88336181640625"
"baseline","58","Question: what is the name of india pakistan border? Answer:","38.252708435058594"
"baseline","11","Question: which british city is farthest from the sea? Answer:","45.48786163330078"
"baseline","35","Question: who played mrs warboys in one foot in the grave? Answer:","52.9813232421875"
"baseline","19","Question: who stepped out of the dithyrambic chorus to become the first actor? Answer:","64.3245849609375"
"baseline","40","Question: where was the salvation army's christmas collection kettle first introduced? Answer:","89.36006164550781"
"baseline","82","Question: sequel to a christmas story it runs in the family? Answer:","190.24758911132812"
"baseline","4","Question: where was because i could not stop for death published? Answer:","156.69769287109375"
"baseline","43","Question: where does kfc get their chicken in south africa? Answer:","58.69009017944336"
"baseline","88","Question: who won the super heavyweight gold medal at the 2000 olympics? Answer:","41.68207931518555"
"baseline","28","Question: when did men's curling start in the olympics? Answer:","32.248043060302734"
"baseline","10","Question: which state is the richest state in nigeria? Answer:","60.264427185058594"
"baseline","37","Question: who wrote if she knew what she wants? Answer:","143.44134521484375"
"baseline","86","Question: where was the film coming home for christmas filmed? Answer:","139.7145538330078"
"baseline","5","Question: who plays the mother of howard on big bang theory? Answer:","77.96070861816406"
"baseline","94","Question: who was the dj on in living color? Answer:","122.85791015625"
"baseline","56","Question: when did the granite mountain hotshots get certified? Answer:","275.92236328125"
"baseline","6","Question: who has been appointed as the election commissioner of india? Answer:","24.24797248840332"
"baseline","76","Question: what is the ultimate objective of financial management? Answer:","53.99167251586914"
"baseline","72","Question: new movie of ajay devgan and sonakshi sinha? Answer:","26.912935256958008"
"baseline","85","Question: who kidnapped ben in the deep end of the ocean? Answer:","132.68394470214844"
"baseline","90","Question: university of michigan school of public health ranking? Answer:","44.190521240234375"
"baseline","48","Question: what is the name of the gap between two front teeth? Answer:","35.3718147277832"
"baseline","0","Question: who plays colin on young and the restless? Answer:","231.34014892578125"
"baseline","49","Question: when was the last time tug-of-war was an official olympic sport? Answer:","17.441679000854492"
"baseline","95","Question: who is the actress who plays baker on blue bloods? Answer:","67.81183624267578"
"baseline","73","Question: what is the function of the pericardial sac? Answer:","28.537498474121094"
"baseline","30","Question: who won the 2017 sports personality of the year? Answer:","54.34642028808594"
"baseline","62","Question: when did bihar bifurcate from bengal and some parts of chota nagpur merged into bengal? Answer:","43.034461975097656"
"baseline","34","Question: what was the first capital city of australia? Answer:","26.555015563964844"
"baseline","99","Question: who is the young man in hawthorne's my kinsman major molineux? Answer:","32.46762466430664"
"baseline","64","Question: who is the authority or governing body of mca? Answer:","75.80885314941406"
"baseline","3","Question: who invented the cornell method of note taking? Answer:","75.57256317138672"
