"id","max_length","generation_method","n_retrieval_docs","top_k","userprompt","n_tokens","doc_indices","predicted","gold","logits","bleu","rouge","correct"
"0","20","beam","5","20","Answer the question: who sang theme song for license to kill?","20","60,23,93,74,38","
Licence to Kill (1989)

Licence to Kill is a James Bond film","Gladys Knight,Gladys Knight,Gladys Knight,Gladys Knight,Gladys Knight","15.23409366607666,12.590832710266113,13.090654373168945,25.091489791870117,41.21759033203125,36.369537353515625,24.48812484741211,24.572128295898438,21.830289840698242,16.633560180664062,19.3536376953125,17.18267250061035,24.554244995117188,48.506587982177734,35.73005294799805,24.729156494140625,32.065555572509766,25.67620086669922,43.64128875732422,24.580638885498047","0","0","0"
"1","20","beam","5","20","Answer the question: a concave mirror can form a real image which is a copy of an object that forms?","22","60,23,93,74,38","Licence to Kill ( soundtrack ) - wikipedia Licence to Kill Soundtrack album by Various","inverted","16.445056915283203,13.790746688842773,29.423458099365234,52.07120132446289,40.38135528564453,34.86370849609375,26.408357620239258,27.74567222595215,29.52729606628418,29.25748062133789,32.51354217529297,31.748764038085938,29.374359130859375,58.00133514404297,50.50651931762695,35.86314010620117,49.57793426513672,23.91362190246582,32.31367492675781,25.47865104675293","0","0","0"
"2","20","beam","5","20","Answer the question: who wore number 7 for the green bay packers?","20","60,23,93,74,38"," Retrieved on 2013-05-01. Licence to Kill ( 1989 ) Licence to","Don Majkowski,Don Majkowski,Quarterback Don Majkowski,Quarterback Don Majkowski,Don Majkowski","19.849163055419922,29.877443313598633,21.89728546142578,17.77838134765625,19.70640754699707,18.2791805267334,19.414461135864258,26.230224609375,34.927005767822266,26.670961380004883,22.678813934326172,22.738500595092773,46.81462097167969,45.635643005371094,18.4898738861084,28.633485794067383,29.530942916870117,17.516679763793945,27.366790771484375,47.89241027832031","0","0","0"
"3","20","beam","5","20","Answer the question: where does patience is a virtue come from?","20","60,23,93,74,38"," Retrieved August 1, 2016. ^ a b c d e f g h "" Licence","`` Psychomachia , ''","16.589641571044922,24.07575225830078,24.204248428344727,22.546308517456055,53.15536117553711,24.013900756835938,44.396339416503906,18.53176498413086,20.44698715209961,19.437278747558594,20.93215560913086,39.904964447021484,22.500633239746094,30.67422866821289,26.585704803466797,19.938295364379883,39.70754623413086,27.521989822387695,26.70928192138672,29.153871536254883","0","0","0"
"4","20","beam","5","20","Answer the question: who wrote ain't living long like this?","20","60,23,93,74,38","Licence to Kill (1989)
Licence to Kill is a James Bond film, the","Rodney Crowell","13.056327819824219,13.198844909667969,25.125728607177734,42.798667907714844,44.88872528076172,27.753049850463867,24.95827293395996,24.661163330078125,14.869335174560547,18.728166580200195,28.361127853393555,47.30087661743164,40.05910110473633,23.949865341186523,33.00468826293945,23.27001190185547,41.5941162109375,23.476234436035156,27.181386947631836,25.01399040222168","0","0","0"
"5","20","beam","5","20","Answer the question: who played the mom on what's eating gilbert grape?","20","25,92,52,91,33","Darlene Cates ( born Rita Darlene Guthrie ; December 13, 1947","Darlene Cates,Darlene Cates,Darlene Cates","21.236146926879883,15.428565979003906,43.967472076416016,25.80461883544922,24.911846160888672,39.24280548095703,18.026540756225586,20.57391929626465,55.55094528198242,50.056541442871094,50.9075813293457,34.661739349365234,48.47170639038086,43.408470153808594,38.36665725708008,27.86629295349121,23.833940505981445,40.922218322753906,45.68409729003906,46.15365982055664","0.05190794196013298","0.3636363636363636","0"
"6","20","beam","5","20","Answer the question: where do secondary xylem and phloem cells arise from?","20","25,92,52,91,33","
Darlene Cates ( born Rita Darlene Guthrie ; December 13,","The vascular cambium,the vascular cambium,the vascular cambium,the vascular cambium","22.856395721435547,13.85250473022461,13.46548843383789,31.796127319335938,26.38909149169922,22.483295440673828,38.88998031616211,18.793912887573242,16.51490592956543,53.25578308105469,44.76129913330078,50.74721908569336,32.91802978515625,54.39231872558594,41.93573760986328,35.11082077026367,34.267024993896484,23.819660186767578,41.70061111450195,48.5296630859375","0","0","0"
"7","20","beam","5","20","Answer the question: who added a press room to the white house?","20","25,92,52,91,33","
Darlene Cates ( born Rita Darlene Guthrie ; December 13,","President Richard Nixon,President Richard Nixon,Richard Nixon,Richard Nixon,President Richard Nixon","19.661161422729492,13.589105606079102,15.648125648498535,37.03410339355469,24.71932601928711,24.00898551940918,36.571468353271484,18.297178268432617,16.62704849243164,54.64188766479492,47.49277877807617,51.1622314453125,34.29388427734375,51.41524124145508,41.5624885559082,36.9844970703125,34.31675338745117,26.689821243286133,41.671630859375,50.466129302978516","0","0","0"
"8","20","beam","5","20","Answer the question: nodding your head no is an example of?","20","25,92,52,91,33","
Darlene Cates

Darlene Cates (born Rita Darlene","a gesture","16.207117080688477,14.060933113098145,14.180604934692383,37.106197357177734,25.138402938842773,25.520069122314453,39.780548095703125,18.351852416992188,16.271268844604492,12.972790718078613,39.200313568115234,24.53437042236328,51.98002243041992,39.378910064697266,20.698009490966797,17.571834564208984,56.857086181640625,50.99114227294922,48.819740295410156,30.611276626586914","0","0","0"
"9","20","beam","5","20","Answer the question: who sings the theme tune to mum on bbc2?","20","25,92,52,91,33","Darlene Cates, Actress: Biography, Filmography, Awards, & TV","Lulu and the Lampshades,Lulu and the Lampshades,Lulu and the Lampshades,Lulu and the Lampshades,Lulu and the Lampshades","21.3454532623291,16.603736877441406,44.10308074951172,38.000911712646484,31.136093139648438,39.59760665893555,19.788339614868164,27.089181900024414,42.520851135253906,29.051237106323242,19.031967163085938,25.64929962158203,27.822376251220703,18.80005645751953,27.256629943847656,33.754310607910156,19.719863891601562,21.211990356445312,17.671106338500977,23.705997467041016","0","0","0"
