"id","max_length","generation_method","userprompt","predicted","gold","bleu","rouge","correct"
"60","10","sampling_top_k","Question: who played big enos in smokey and the bandit? Answer:","ohn wayne.
Question: what is","Pat McCormick (,Pat McCormick (,Pat McCormick (,Pat McCormick (","0","0","0"
"23","10","sampling_top_k","Question: what proposition made the insurance commissioner an elected position? Answer:"," proposition that created the office of insurance commissioner was","Proposition 103 in,Proposition 103 in,Proposition 103 in,Proposition 103 in 1988 ,","0","0.16346153846153846","0"
"93","10","sampling_top_k","Question: who sings i feel love with the blue man group? Answer:","ave matthews.
Question: what","Annette Strean provided,Annette Strean provided,Venus Hum toured,Annette providing","0","0","0"
"74","10","sampling_top_k","Question: who has the most followers on the instagram? Answer:","ylie jenner.
Question:","Selena Gomez is,Selena Gomez </Td>,Instagram 's own account ,,Instagram 's own account ,,Instagram 's own account ,","0","0","0"
"38","10","sampling_top_k","Question: who is the singer of kal ho na ho? Answer:"," singer of kal ho na ho is Son","Sonu Nigam .,Sonu Nigam .,also a sad version of the song in the film on which Sonu Nigam is joined by Alka Yagnik and Richa Sharma .,Sonu Nigam .,Sonu Nigam .,Alka Yagnik and,Richa Sharma .,Sonu Nigam .","0.03401086821506398","0.016666666666666666","0"
"25","10","sampling_top_k","Question: who invented the cornell method of note taking? Answer:"," cornell method of note taking was invented by","Walter Pauk ,,Walter Pauk ,,Walter Pauk , an education professor at Cornell University .,Walter Pauk ,,Walter Pauk ,","0","0.025","0"
"92","10","sampling_top_k","Question: where did the tradition of gift giving come from? Answer:"," the ancient Egyptians.
Question: what","in ancient Rome with gift - giving during the Saturnalia holiday ,","0.013386994550858783","0.13333333333333333","0"
"52","10","sampling_top_k","Question: when did john hart play the lone ranger? Answer:","ohn hart played the lone ranger in","from 1952 until 1953 .,from 1952 until 1953 .,from 1952 until 1953 .,from 1952 until 1953 .,from 1952 until 1953 .","0","0","0"
"91","10","sampling_top_k","Question: what country shares borders with both belarus and romania? Answer:","and.
Question: what country shares borders","Ukraine borders,Ukraine borders","0.03759340464156993","0.25","0"
"33","10","sampling_top_k","Question: where does summer of the monkeys take place? Answer:"," the summer of the monkeys, the story takes","Oklahoma after,Oklahoma after,Missouri sharecroppers,Oklahoma after,Oklahoma after,Oklahoma after","0","0","0"
"68","10","sampling_top_k","Question: who sang the song good morning good morning? Answer:"," song good morning good morning was written by the","Judy Garland and,Mickey Rooney .,Debbie Reynolds ,,Gene Kelly and,Donald O'Connor .","0","0","0"
"31","10","sampling_top_k","Question: when does season 8 of shameless come back? Answer:","eless season 8 will premiere on Sunday, January","November 5 , 2017 .,November 5 , 2017 .,November 5 , 2017 .,November 5 , 2017 .,November 5 , 2017 .","0","0","0"
"81","10","sampling_top_k","Question: which level of weight bearing often comes with a set number of pounds? Answer:"," weight bearing level is the amount of weight that","Partial weight - bearing :","0.030601688609851067","0.3333333333333333","0"
"63","10","sampling_top_k","Question: actress who plays penelope garcia on criminal minds? Answer:","irsten vangsness.
Question:","Kirsten Simone Vangsness (,Kirsten Simone Vangsness (,Kirsten Simone Vangsness (,Kirsten Simone Vangsness (,Kirsten Simone Vangsness (","0","0.3333333333333333","0"
"45","10","sampling_top_k","Question: what city was zeus the patron god of? Answer:","us was the patron god of the city of","Elis and,Olympia had,Elis and,Olympia had,Elis and,Olympia had,Elis and,Olympia had,Elis and,Olympia had","0","0","0"
"53","10","sampling_top_k","Question: where does the phrase rock chalk jayhawk come from? Answer:"," phrase is a reference to the University of Kansas","the university 's science club in 1886 .","0.02573285025273419","0.25","0"
"67","10","sampling_top_k","Question: when should a non rebreather mask be used? Answer:"," non rebreather mask should be used when","for patients with physical trauma , chronic airway limitation , cluster headache , smoke inhalation , and carbon monoxide poisoning , or any other patients who require high - concentration oxygen , but do not require breathing assistance .,patients with physical trauma , chronic airway limitation , cluster headache , smoke inhalation , and carbon monoxide poisoning , or any other patients who require high - concentration oxygen , but do not require breathing assistance .,for patients with physical trauma , chronic airway limitation , cluster headache , smoke inhalation , and carbon monoxide poisoning , or any other patients who require high - concentration oxygen , but do not require breathing assistance .","0","0","0"
"78","10","sampling_top_k","Question: locations for the film an englishman who went up a hill? Answer:"," film was shot in the village of bally","Llanrhaeadr - ym - Mochnant and Llansilin in Powys .,Llanrhaeadr - ym - Mochnant and Llansilin in Powys .,Llanrhaeadr - ym - Mochnant and,Llansilin in Powys .","0.028599617161713803","0.11212121212121212","0"
"27","10","sampling_top_k","Question: who said life is like a bowl of cherries? Answer:"," one.
Question: what is the difference","Lew Brown ,","0","0","0"
"39","10","sampling_top_k","Question: who has the most yards per carry in nfl history? Answer:"," answer is: jim brown.
Question","Emmitt Smith </Td>,Emmitt Smith </Td>,Jim Brown </Td>,Jim Brown </Td>","0","0.25","0"
"69","10","sampling_top_k","Question: what time is it in alaska time zone? Answer:","aska time zone is GMT -9 hours.","UTC − 09 : 00 )","0","0","0"
"42","10","sampling_top_k","Question: when was the miraculous journey of edward tulane published? Answer:"," miraculous journey of edward tulane","March 30 , 2006 </Td>,March 30 , 2006 </Td>,2006 novel,2006 novel,March 30 , 2006 </Td>","0","0","0"
"66","10","sampling_top_k","Question: when did jelly beans became associated with easter? Answer:"," the early 1900s, jelly beans were used","1930s due,during the 1930s due,sometime during the 1930s due,sometime during the 1930s due,sometime during the 1930s due","0.03235934848975789","0.13636363636363635","0"
"9","10","sampling_top_k","Question: is jaffa cakes a biscuit or a cake? Answer:"," are a biscuit.
Question: is","cakes introduced,Cake </Td>,the Jaffa cake should be considered a cake for tax purposes .,biscuit - sized cakes introduced","0.0456496931223525","0.08680555555555557","0"
"26","10","sampling_top_k","Question: where does the last name waters come from? Answer:"," comes from the fact that my great-grand","Wales and Yorkshire .,`` Wat '' , or `` Wa'ter '' , an old pronunciation of Gaultier or Walter ,,the surname Watson ( `` Wat 's son '' ) .,Wales and,Yorkshire .,Wales and,Yorkshire .","0.03235934848975789","0.020408163265306124","0"
"59","10","sampling_top_k","Question: the father son and holy spirit in latin? Answer:"," father, son and holy spirit in latin","in nomine Patris et Filii et Spiritus Sancti ),Patris et Filii et Spiritus Sancti ),Patris et Filii et Spiritus Sancti ),in nomine Patris et Filii et Spiritus Sancti )","0.03235934848975789","0.06666666666666667","0"
"18","10","sampling_top_k","Question: ahana from dil sambhal ja zara real name? Answer:"," real name is ahanasri.
","Smriti Kalra </Td>,Smriti Kalra </Td>,Smriti Kalra </Td>,Smriti Kalra </Td>","0","0","0"
"89","10","sampling_top_k","Question: the patient self-determination act (psda) mandates that? Answer:"," patient self-determination act (psda)","required many hospitals , nursing homes , home health agencies , hospice providers , health maintenance organizations ( HMOs ) , and other health care institutions to provide information about advance health care directives to adult patients upon their admission to the healthcare facility .,required many hospitals , nursing homes , home health agencies , hospice providers , health maintenance organizations ( HMOs ) , and other health care institutions to provide information about advance health care directives to adult patients upon their admission to the healthcare facility .,many hospitals , nursing homes , home health agencies , hospice providers , health maintenance organizations ( HMOs ) , and other health care institutions to provide information about advance health care directives to adult patients upon their admission to the healthcare facility .","0","0.04800619434765776","0"
"87","10","sampling_top_k","Question: uruguay is located along what body of water? Answer:"," atlantic ocean.
Question: what","Bay of Montevideo </Li>","0","0","0"
"97","10","sampling_top_k","Question: when did the song holiday road come out? Answer:"," road came out in the year of 2006.","June 24 , 1983 </Td>,1983 single,1983 single,June 24 , 1983 </Td>,1983 single","0","0","0"
