"experiment","id","max_length","n_retrieval_docs","top_k","generation_method","embedding_id","userprompt","n_tokens","docs_ids","similarities","predicted","gold","logits","bleu","rouge","correct"
"rag","15","20","1","1","sampling_top_k","facebook/contriever",". Question: is aluminium a ferrous or non ferrous metal?","119","15_1","0.3776809573173523"," quora Aluminum is a non-ferrous metal, which means it does not contain","non-ferrous,non-ferrous,non-ferrous,non-ferrous,non-ferrous","49.04059982299805,26.424213409423828,24.869590759277344,52.380531311035156,30.62887191772461,45.02539825439453,32.228214263916016,36.631980895996094,25.96302032470703,54.23203659057617,35.25334548950195,30.36756706237793,41.31084060668945,43.421852111816406,43.72801971435547,49.40797805786133,54.1705207824707,42.957740783691406,52.05644607543945,27.977441787719727","0.020044994979069072","0.2666666666666667","0"
"rag","5","20","1","1","sampling_top_k","facebook/contriever",". Question: who sang i want to be bobbys girl?","115","5_1","0.5114052891731262"," answers.","Marcie Blane,Marcie Blane","47.53949737548828,29.44682502746582,39.935325622558594","0","0","0"
"rag","18","20","1","1","sampling_top_k","facebook/contriever",". Question: yo la tengo theres a riot going on release date?","118","18_6","0.4454542398452759","Yo La Tengo is an American alternative rock band formed in Hoboken, New Jersey in 1987","March 16 , 2018,March 16 , 2018,March 16 , 2018,March 16 , 2018,March 16 , 2018","39.10197448730469,19.423675537109375,33.3237419128418,27.743343353271484,27.25876235961914,19.688013076782227,37.37245559692383,31.80816078186035,21.794700622558594,23.689678192138672,27.467546463012695,44.79861831665039,49.887733459472656,20.108627319335938,27.73009490966797,49.368160247802734,45.33560562133789,53.03529357910156,54.63434982299805,23.628765106201172","0","0","0"
"rag","9","20","1","1","sampling_top_k","facebook/contriever",". Question: when did john hart play the lone ranger?","118","9_10","0.3849184513092041","John Hart played the Lone Ranger in the radio series from 1933 to 1949, and in the","from 1952 until 1953,from 1952 until 1953,from 1952 until 1953,from 1952 until 1953,from 1952 until 1953","49.67088317871094,29.412744522094727,43.587730407714844,41.772254943847656,23.238752365112305,32.4464225769043,45.006717681884766,42.434486389160156,46.76504135131836,28.97117042541504,22.7567138671875,30.163095474243164,29.046077728271484,20.15296173095703,65.1330795288086,28.45785903930664,63.80971145629883,42.74148941040039,41.0994873046875,31.84346580505371","0.014936192853457254","0.09523809523809523","0"
"rag","6","20","1","1","sampling_top_k","facebook/contriever",". Question: when did seat belts become law in ontario?","115","6_1","0.31886494159698486"," ontario seat belt law, canada.","January 1 , 1976,January 1 , 1976,January 1 , 1976,January 1 , 1976,January 1 , 1976","51.301124572753906,30.44426918029785,28.579553604125977,22.897891998291016,63.750152587890625,40.985008239746094,33.016807556152344,39.12416076660156,51.48388671875,42.36055374145508","0","0","0"
"rag","13","20","1","1","sampling_top_k","facebook/contriever",". Question: what is the approximate volume of blood in your body?","116","13_1","0.41062450408935547",": about 5 liters.","approximately 5 liters,approximately 5 liters,approximately 5 liters","49.60774230957031,47.35430145263672,30.926652908325195,33.86591339111328,45.10560607910156,41.366058349609375,49.604637145996094","0.061033220311973134","0.6666666666666666","0"
"rag","8","20","1","1","sampling_top_k","facebook/contriever",". Question: who sings i'm going to soak up the sun?","117","8_1","0.5275181531906128"," answers.","Sheryl Crow,American artist Sheryl Crow,Sheryl Crow,Kidz Bop Kids,American artist Sheryl Crow,Sheryl Crow","53.954551696777344,31.451719284057617,38.77214813232422","0","0","0"
"rag","17","20","1","1","sampling_top_k","facebook/contriever",". Question: anastomosis between the epididymis and the vas deferens?","120","17_7","0.454059898853302"," is the purpose of this? Answer: The purpose of this is to bypass a blockage in","Vasoepididymostomy,Vasoepididymostomy","37.43480682373047,26.737266540527344,32.230403900146484,27.0762996673584,50.07984924316406,38.9402961730957,32.97740936279297,39.093055725097656,30.25563621520996,32.09284973144531,38.6724853515625,43.86460876464844,35.90016174316406,31.64374351501465,36.569419860839844,33.00732421875,24.08186149597168,21.0765438079834,55.56617736816406,48.280052185058594","0","0","0"
"rag","7","20","1","1","sampling_top_k","facebook/contriever",". Question: where would a subcutaneous injection be made in the skin?","117","7_1","0.440604031085968"," Quora A subcutaneous injection is administered just below the skin, in the subcutis layer.","the subcutis","47.07261657714844,26.857397079467773,20.824235916137695,44.945987701416016,29.617298126220703,35.89933776855469,32.70087432861328,39.02268981933594,38.86116409301758,37.63325500488281,48.75114059448242,31.27597427368164,35.904415130615234,35.30885314941406,29.89130210876465,24.235931396484375,28.250102996826172,27.843286514282227,37.906166076660156,53.18463134765625","0.041263216881455095","0.25","0"
"rag","24","20","1","1","sampling_top_k","facebook/contriever",". Question: where does the last name galvez come from?","115","24_1","0.4087848663330078","Answer: The surname Galvez is of Spanish origin and is derived from the personal name Galvez","Spanish surname,Spanish","50.87370300292969,25.634540557861328,41.67661666870117,44.52939224243164,50.06904220581055,59.41420364379883,26.93498420715332,49.63218688964844,28.496658325195312,29.240097045898438,40.89373779296875,49.45815658569336,32.34556579589844,23.88304901123047,48.70160675048828,31.64327049255371,22.705501556396484,25.169788360595703,21.502262115478516,23.00828742980957","0.018688671660841403","0.11437908496732026","0"
"rag","23","20","1","1","sampling_top_k","facebook/contriever",". Question: where was gunsmoke to the last man filmed?","116","23_7","0.5025203227996826","The film was shot on location in the American Southwest, primarily in New Mexico.","Tucson , Arizona,Tucson , Arizona,Tucson , Arizona,Tucson , Arizona","47.10105895996094,23.836204528808594,43.18631362915039,39.87485885620117,53.536155700683594,49.15906524658203,34.749000549316406,49.376190185546875,25.563396453857422,25.3334903717041,28.216196060180664,41.86318588256836,34.431671142578125,28.82501792907715,24.374784469604492,41.98080825805664,52.26607131958008","0","0","0"
"rag","20","20","1","1","sampling_top_k","facebook/contriever",". Question: who sang original i want a hippopotamus for christmas?","118","20_1","0.37540674209594727"," Yahoo Answers I want a hippopotamus for Christmas, I want a hippopotamus for","Gayla Peevey,Gayla Peevey,Gayla Peevey,Gayla Peevey,Gayla Peevey","48.31734848022461,28.951419830322266,35.095882415771484,37.245479583740234,44.88893127441406,47.53276824951172,50.597755432128906,60.34461975097656,24.751136779785156,32.11559295654297,45.944786071777344,56.69068908691406,33.68955612182617,19.807573318481445,25.084117889404297,20.844017028808594,53.699520111083984,23.75345802307129,19.753658294677734,22.772632598876953","0","0","0"
"rag","22","20","1","1","sampling_top_k","facebook/contriever",". Question: how many nuclear power plants in washington state?","116","22_1","0.31373631954193115"," Quora There are currently five nuclear power plants in Washington state. The largest is the Columbia Gener","3","46.5548095703125,31.741838455200195,23.89812469482422,46.1596794128418,48.01085662841797,42.37431716918945,24.68869400024414,26.305526733398438,40.68597412109375,51.48640823364258,42.56745910644531,53.12910461425781,60.55824661254883,53.11758041381836,25.763900756835938,17.213857650756836,28.036911010742188,19.868438720703125,17.650028228759766,26.255008697509766","0","0","0"
