"experiment","id","max_length","n_retrieval_docs","top_k","generation_method","embedding_id","userprompt","n_tokens","docs_ids","similarities","predicted","gold","logits","bleu","rouge","correct"
"rag","240","15","1","20","beam","facebook/contriever",". Question: Why did Ronnie and Mom go to the Davis house after being kicked out? 1) They needed to hide from the authorities 2) They new that they would be able to read at the Davis house 3) Mr. Davis had offered Ronnie a place to stay whenever 4) Mr. Davis and his son had been evicted and the house was empty. Answer: ","1789","240_13,240_51,240_14,240_11,240_19,240_49,240_10,240_50,240_26,240_7,240_8,240_9,240_25,240_48,240_6,240_2,240_38,240_18,240_45,240_5","0.4432246685028076,0.44751977920532227,0.5026676058769226,0.5166780948638916,0.5215202569961548,0.5221701860427856,0.5333756804466248,0.5347890257835388,0.5487374067306519,0.55809086561203,0.5585407018661499,0.5621293187141418,0.5649099349975586,0.5692476034164429,0.5729994177818298,0.581866979598999,0.5829836130142212,0.5869501829147339,0.5906000137329102,0.5936462879180908","1) They needed to hide from the authorities.","2","17.505468368530273,26.117536544799805,40.0810661315918,42.63827896118164,53.767520904541016,50.879539489746094,48.42300033569336,39.167518615722656,52.42616653442383,45.06673812866211,37.6812858581543","0","0","0"
"rag","93","15","1","20","beam","facebook/contriever",". Question: What is the author’s thesis? 1) That even Keynesian economists are misinterpreting some of the intentions of Keynes’ original theories 2) There are so many unknowns in Keynes’ theories that it has come time to develop a new set of economic theories separate from his 3) Keynesian economists are more united than divided 4) It’s not possible to know what Keynes’ true intentions were. Answer: ","1596","93_4,93_1,93_9,93_14,93_8,93_32,93_11,93_5,93_24,93_21,93_7,93_6,93_27,93_17,93_13,93_15,93_31,93_18,93_30,93_23","0.46049565076828003,0.49629920721054077,0.5212477445602417,0.5315730571746826,0.5353221893310547,0.5419899821281433,0.5444366931915283,0.548954427242279,0.5536730289459229,0.5709788203239441,0.589257001876831,0.5923666954040527,0.5947326421737671,0.6039886474609375,0.6040546894073486,0.6194864511489868,0.6196086406707764,0.6230478286743164,0.6281076669692993,0.629270076751709","1) The author’s thesis is that even Keynesian economists","1","16.144155502319336,15.434762954711914,40.60976028442383,40.94671630859375,46.13788986206055,50.716678619384766,35.32268524169922,54.560035705566406,52.65005111694336,45.96181869506836,50.88361358642578,46.873287200927734,29.15692710876465,28.168987274169922,42.831626892089844","0","0.18181818181818182","0"
"rag","296","15","1","20","beam","facebook/contriever",". Question: What does the author credit the recent dramatic change in politics to?  1) The internet as a political tool 2) Geopolitical tension 3) Government dysfunction 4) The Democratic Party. Answer: ","1357","296_19,296_1,296_2,296_12,296_20,296_23,296_22,296_3,296_35,296_7,296_33,296_27,296_8,296_30,296_36,296_4,296_40,296_11,296_32,296_39","0.520307183265686,0.5718733072280884,0.5720698833465576,0.5885482430458069,0.6164084672927856,0.6185691356658936,0.6190601587295532,0.6209174394607544,0.6233718395233154,0.6293548345565796,0.6318079233169556,0.6321066617965698,0.6415340900421143,0.6424539089202881,0.6466161012649536,0.6498568654060364,0.6537902355194092,0.6566722393035889,0.6574220061302185,0.6625847816467285","The author attributes the recent dramatic change in politics to the internet as a","1","14.587817192077637,18.182435989379883,53.798465728759766,58.33512496948242,57.58431625366211,58.94279098510742,63.03604507446289,50.81163787841797,59.32857894897461,59.630741119384766,56.49617385864258,43.131080627441406,44.24354553222656,51.750404357910156,50.9817008972168","0","0","0"
"rag","155","15","1","20","beam","facebook/contriever",". Question: What is the author's overall feeling towards modern dentistry as a whole in this passage? 1) Apathetic; the author reports the developments in the dental industry in an unbiased manor 2) Negative; the author believes that all of the advancements of modern dentistry are an unnecessary scam  3) Positive; the author implies that modern dentistry has only improved the dental hygiene of the public 4) Mixed; the author acknowledges both positives and negative aspects of modern dentistry. Answer: ","1675","155_24,155_12,155_10,155_22,155_32,155_17,155_19,155_5,155_29,155_34,155_30,155_11,155_31,155_2,155_23,155_21,155_16,155_25,155_13,155_15","0.5383205413818359,0.5430186986923218,0.5584432482719421,0.5735217928886414,0.5783412456512451,0.5823029279708862,0.5911989212036133,0.593681275844574,0.5937433838844299,0.5978497862815857,0.5979865789413452,0.6006476283073425,0.6069086194038391,0.612727165222168,0.6142097115516663,0.6163021922111511,0.6165197491645813,0.6166700124740601,0.6175317764282227,0.6230322122573853","3) Positive; the author implies that modern dentistry has only improved","4","17.765605926513672,19.949447631835938,39.03507614135742,55.084110260009766,45.096435546875,44.5048828125,38.228763580322266,35.653465270996094,46.0390739440918,37.06402587890625,45.618408203125,32.837379455566406,46.57170104980469,48.578636169433594,41.45656967163086","0","0","0"
"rag","102","15","1","20","beam","facebook/contriever",". Question: What level of depth does the author provide on the subjects they use to make their case? 1) Language is really the only thing covered in any depth 2) A broad, but not very deep assessment 3) They provide the reader with deeper arguments about the monetary system and striking tendencies than anything else 4) They provide deep, explanatory statistics to most arguments. Answer: ","1398","102_25,102_23,102_16,102_26,102_5,102_4,102_15,102_27,102_2,102_1,102_11,102_7,102_9,102_17,102_34,102_33,102_28,102_3,102_10,102_12","0.6559240818023682,0.6776004433631897,0.680377185344696,0.694697916507721,0.6981284022331238,0.7108412981033325,0.7326900959014893,0.7364070415496826,0.7455522418022156,0.7490760087966919,0.7519786357879639,0.7557812333106995,0.755958080291748,0.7563305497169495,0.7622694969177246,0.7674835920333862,0.7706420421600342,0.7725814580917358,0.7743123173713684,0.7766738533973694","4) They provide deep, explanatory statistics to most arguments.","2","13.612659454345703,15.55632495880127,36.06262969970703,50.94365310668945,52.78792190551758,55.008304595947266,48.705345153808594,27.978755950927734,48.116703033447266,49.11933135986328,44.548187255859375,43.24843978881836,52.78083801269531","0","0","0"
"rag","209","15","1","20","beam","facebook/contriever",". Question: Why was a Dr. able to examine Parks without being suspicious? 1) The Dr. was not trained very well 2) Parks used a special technique to confuse and manipulate the Dr. 3) The anatomy of the beings on Parks' planet was almost identical to humans 4) Parks had too strong of a disguise. Answer: ","1857","209_23,209_21,209_6,209_37,209_30,209_22,209_7,209_13,209_11,209_36,209_27,209_17,209_12,209_1,209_29,209_31,209_28,209_14,209_25,209_3","0.5686855316162109,0.590375542640686,0.5953518152236938,0.6134201884269714,0.617390513420105,0.6218757629394531,0.6256668567657471,0.6526371240615845,0.6637934446334839,0.6718634963035583,0.6852355599403381,0.6908221244812012,0.6948415040969849,0.7145271301269531,0.7285655736923218,0.7317744493484497,0.7379183173179626,0.7435609102249146,0.750109076499939,0.7507539987564087","1) 2) 3) 4)","3","16.717201232910156,29.499595642089844,42.36101531982422,42.63508987426758,40.03046798706055,50.82041931152344,37.1611328125,46.806663513183594,29.815601348876953,38.89303970336914,32.6894645690918","0","0.4","0"
"rag","135","15","1","20","beam","facebook/contriever",". Question: What role does technology play in Tannen’s views? 1) It allows the facts to surface and be shared 2) It allows the public to communicate clearly and carefully with each other 3) It can spread misinformation, and enable ready critiquing of each other 4) It supports the first amendment of which there is no criticism. Answer: ","1668","135_35,135_24,135_34,135_3,135_17,135_19,135_6,135_32,135_11,135_5,135_2,135_33,135_22,135_27,135_25,135_9,135_16,135_13,135_20,135_18","0.3903452157974243,0.4666826128959656,0.5120677947998047,0.524559736251831,0.5393174886703491,0.5402032136917114,0.5474746823310852,0.5590713024139404,0.5654264092445374,0.566002607345581,0.5717947483062744,0.5727224349975586,0.5763171315193176,0.5811676979064941,0.5860106348991394,0.5916389226913452,0.5933024883270264,0.5978575944900513,0.617194652557373,0.6269475221633911","4)
The Argument Culture: How Parents, Teachers, and Students","3","15.907376289367676,15.826658248901367,40.9467658996582,43.47917175292969,14.447052001953125,51.727012634277344,48.90999221801758,37.862430572509766,19.533599853515625,18.155183792114258,24.363616943359375,20.61402130126953,50.537330627441406,21.736576080322266,18.2399959564209","0","0","0"
"rag","272","15","1","20","beam","facebook/contriever",". Question: What does the author think that social media has the power to amplify? 1) Both Positive and Negative Social Behaviors 2) Negative Social Interactions 3) Antisocial Behaviors 4) Positive Altruistic Behavior. Answer: ","1866","272_12,272_5,272_3,272_13,272_28,272_21,272_2,272_4,272_14,272_10,272_18,272_22,272_29,272_25,272_30,272_27,272_20,272_35,272_17,272_31","0.5060381293296814,0.5751811265945435,0.5885967016220093,0.5920698642730713,0.6186357736587524,0.6198618412017822,0.6213647127151489,0.6292951107025146,0.6304568648338318,0.6359176635742188,0.6444026231765747,0.6468895077705383,0.6563124656677246,0.6593618392944336,0.6629785299301147,0.6632225513458252,0.6739922761917114,0.6746276617050171,0.6790796518325806,0.68059241771698","The author thinks that social media has the power to amplify both positive and","1","14.963067054748535,33.859806060791016,54.211830139160156,56.294925689697266,63.606834411621094,61.510311126708984,55.39642333984375,53.967430114746094,51.00437545776367,51.86904525756836,53.6268424987793,56.539825439453125,54.330169677734375,62.55954360961914,62.48018264770508","0","0","0"
"rag","125","15","1","20","beam","facebook/contriever",". Question: What does the author suggest are some traits Said possesses? 1) Boldness, confidence 2) Vanity, disorganization 3) Inventiveness, shyness 4) Charisma, people-pleasing. Answer: ","1591","125_12,125_23,125_34,125_35,125_13,125_22,125_4,125_18,125_7,125_28,125_8,125_6,125_29,125_9,125_10,125_24,125_14,125_30,125_2,125_11","0.6441915035247803,0.6665613055229187,0.6748170852661133,0.6850405931472778,0.686593234539032,0.6875156164169312,0.6907545328140259,0.6913614273071289,0.6998538970947266,0.7033333778381348,0.7054726481437683,0.7102410197257996,0.711571455001831,0.7118452787399292,0.7118746042251587,0.7162913084030151,0.7222883701324463,0.7289597988128662,0.7375273108482361,0.7404489517211914","1) Boldness, confidence 2) Vanity, disorganization 3","1","12.986623764038086,16.34477996826172,34.45912551879883,54.31553268432617,44.12964630126953,46.915252685546875,41.77886199951172,37.59303283691406,27.94733428955078,59.248146057128906,36.515769958496094,42.74763107299805,45.598812103271484,27.322324752807617,46.41564178466797","0","0.25","0"
"rag","325","15","1","20","beam","facebook/contriever",". Question: What is a message of this article? 1) Technology will continue to change 2) It is important to understand the history of trains 3) Birmingham is a progressive city 4) Maglev was a failure. Answer: ","1544","325_17,325_16,325_13,325_33,325_6,325_24,325_14,325_37,325_10,325_38,325_36,325_35,325_7,325_9,325_12,325_30,325_29,325_31,325_22,325_32","0.5026752948760986,0.5122205018997192,0.5252988934516907,0.5332363843917847,0.5438069701194763,0.5538585186004639,0.5615107417106628,0.564460039138794,0.5667953491210938,0.5696624517440796,0.5748296976089478,0.5778073072433472,0.5786440968513489,0.5800675749778748,0.5825419425964355,0.5843919515609741,0.5890145301818848,0.5898152589797974,0.5934022665023804,0.5956870317459106","1) Technology will continue to change 2) It is important to understand","1","14.382606506347656,18.984582901000977,45.97252655029297,48.2619743347168,45.811248779296875,46.77339553833008,40.009056091308594,40.20741653442383,47.2805061340332,34.0637092590332,58.855167388916016,45.36379623413086,45.87709426879883,41.02184295654297,39.179840087890625","0","0.15384615384615385","0"
