"id","max_length","generation_method","userprompt","predicted","gold","bleu","rouge","correct"
"240","15","sampling_top_p",". Question: Why did Ronnie and Mom go to the Davis house after being kicked out? 1) They needed to hide from the authorities 2) They new that they would be able to read at the Davis house 3) Mr. Davis had offered Ronnie a place to stay whenever 4) Mr. Davis and his son had been evicted and the house was empty. Answer: ","Ronnie and house.","2","0","0","0"
"93","15","sampling_top_p",". Question: What is the author’s thesis? 1) That even Keynesian economists are misinterpreting some of the intentions of Keynes’ original theories 2) There are so many unknowns in Keynes’ theories that it has come time to develop a new set of economic theories separate from his 3) Keynesian economists are more united than divided 4) It’s not possible to know what Keynes’ true intentions were. Answer: ","2.","1","0","0","0"
"296","15","sampling_top_p",". Question: What does the author credit the recent dramatic change in politics to?  1) The internet as a political tool 2) Geopolitical tension 3) Government dysfunction 4) The Democratic Party. Answer: ","The author credits the recent dramatic change in politics to the internet as a","1","0","0","0"
"155","15","sampling_top_p",". Question: What is the author's overall feeling towards modern dentistry as a whole in this passage? 1) Apathetic; the author reports the developments in the dental industry in an unbiased manor 2) Negative; the author believes that all of the advancements of modern dentistry are an unnecessary scam  3) Positive; the author implies that modern dentistry has only improved the dental hygiene of the public 4) Mixed; the author acknowledges both positives and negative aspects of modern dentistry. Answer: ","2) the industry.","4","0","0","0"
"102","15","sampling_top_p",". Question: What level of depth does the author provide on the subjects they use to make their case? 1) Language is really the only thing covered in any depth 2) A broad, but not very deep assessment 3) They provide the reader with deeper arguments about the monetary system and striking tendencies than anything else 4) They provide deep, explanatory statistics to most arguments. Answer: ","2.","2","0","1","0"
"209","15","sampling_top_p",". Question: Why was a Dr. able to examine Parks without being suspicious? 1) The Dr. was not trained very well 2) Parks used a special technique to confuse and manipulate the Dr. 3) The anatomy of the beings on Parks' planet was almost identical to humans 4) Parks had too strong of a disguise. Answer: ","2.","3","0","0","0"
"135","15","sampling_top_p",". Question: What role does technology play in Tannen’s views? 1) It allows the facts to surface and be shared 2) It allows the public to communicate clearly and carefully with each other 3) It can spread misinformation, and enable ready critiquing of each other 4) It supports the first amendment of which there is no criticism. Answer: ","2.","3","0","0","0"
"272","15","sampling_top_p",". Question: What does the author think that social media has the power to amplify? 1) Both Positive and Negative Social Behaviors 2) Negative Social Interactions 3) Antisocial Behaviors 4) Positive Altruistic Behavior. Answer: ","Social Media has the power to amplify social media has the power to amplify","1","0","0","0"
"125","15","sampling_top_p",". Question: What does the author suggest are some traits Said possesses? 1) Boldness, confidence 2) Vanity, disorganization 3) Inventiveness, shyness 4) Charisma, people-pleasing. Answer: ","Sensitivity, 5)
2) Competude, 6)","1","0","0","0"
"325","15","sampling_top_p",". Question: What is a message of this article? 1) Technology will continue to change 2) It is important to understand the history of trains 3) Birmingham is a progressive city 4) Maglev was a failure. Answer: ","





A) Technology will continue to change.","1","0","0","0"
"255","15","sampling_top_p",". Question: What caused Skippy to start hearing different voices? 1) Using his telepathy too much 2) Being hit in the head by Henry 3) Spending too much on his own 4) Getting over excited by winning too much money. Answer: ","2)






Answer: Skippy was","2","0","0.4","0"
"181","15","sampling_top_p",". Question: What was different about the Kung Fu class? 1) Participants sparred with each other.  2) The author was not allowed to participate, but was only allowed to watch.  3) The participants wore uniforms.  4) The class was done in the park. . Answer: ","









The author:  ","2","0","0","0"
"212","15","sampling_top_p",". Question: What did Morgan assume when he thought that principles of business would be the same in both worlds? 1) That he would be able to start a business without any issues 2) That he would be able to get a newspaper for free 3) That his money would be good in this world 4) That he could negotiate the price of items at the store. Answer: ","Morganize.","3","0","0","0"
"269","15","sampling_top_p",". Question: What is the main factor that makes maglev trains more successful in Asia? 1) More efficient organization of construction projects 2) A greater importance on speed of travel 3) Increased passenger volume 4) More accurate train schedules. Answer: ","Maglev efficiency of safety 5) 6) 7) 8)","3","0","0","0"
"315","15","sampling_top_p",". Question: The narrator's false sense of superiority 1) leads him to believe that he was the mastermind behind the victory over the high roller, but the kid actually was the one who saved the day. 2) almost got them killed when the big roller came to play. 3) turns out to be a huge joke at his expense because they are all exposed. 4) actually comes in handy because he comes up with a great plan to use when the high roller comes in.. Answer: ","2)
2)








","1","0","0","0"
"111","15","sampling_top_p",". Question: How was Nash’s family involved in the story? 1) His two sons and previous wife were talked about 2) His father was a large influence on his life 3) His mother’s influence was discussed at length 4) His parents and wife were discussed. Answer: ","Nash’s wife was a) Nash’s wife was a","1","0","0","0"
"158","15","sampling_top_p",". Question: Which martial art did the author think was the hardest workout? 1) Tae Kwon Do 2) Kung Fu 3) Jujistui 4) Karate. Answer: ","The answer is 3) Karate.","3","0","0.33333333333333337","0"
"278","15","sampling_top_p",". Question: What type of media does the author believe will be the most influential on the immediate future? 1) Government-approved media 2) Visual media 3) Participatory media 4) Print media. Answer: ","2.","3","0","0","0"
"169","15","sampling_top_p",". Question: Why do some evangelical authors believe that the Antichrist will not be Jewish? 1) They believe that the Antichrist is Henry Kissinger 2) It is thought that the Antichrist will make an agreement with Israel, which would be more likely by a gentile 3) They think that the Antichrist will be a United States President 4) It is believed that the Antichrist will not come until after the upcoming turn of the century. Answer: ","2.","2","0","1","0"
"265","15","sampling_top_p",". Question: Why did the Maglev trains not become popular in the western hemisphere? 1) People did not like traveling so fast 2) The technology was unreliable 3) Their cost was not justifiable 4) All of the other answers are correct. Answer: ","1.","3","0","0","0"
"38","15","sampling_top_p",". Question: Who was on the list of those who knew about Kennedy's affair? 1) The Secret Service members were the only ones who knew what was going on. 2) His wife and mistress were the only two who knew about the affair. 3) He did not have an affair. 4) His aids, secretary, drivers, guards, Secret Service, the domestic staff, and many friends and family members of both parties.. Answer: ","2.","4","0","0","0"
"105","15","sampling_top_p",". Question: What is the musical’s relationship like between Monica and Linda? 1) Monica and Linda conspired together to hatch the plan 2) Monica keeps reiterating the story over and over in different ways to Linda 3) Linda does not believe what Monica is telling here and discredits it 4) Linda presses for details and Monica obliges. Answer: ","2) and 5) and 6) and 7) and 8)","4","0","0","0"
"239","15","sampling_top_p",". Question: What made father realize he couldn't memory-wash Ronnie? 1) Others would notice and it would hurt Dad's reputation 2) Ronnie would just learn to read again 3) The technology wouldn't work on someone so young 4) Ronnie had already ingrained reading in his memory permanently . Answer: ","1.","1","0","1","0"
"75","15","sampling_top_p",". Question: Why do owners want to build large ballparks? 1) they want to increase the total number of seats 2) they can afford it and don't need to budget 3) they want to sell more expensive tickets to the rich 4) they want to help bring an economic boom to the area. Answer: ","






A: 1) they want to","3","0","0","0"
"344","15","sampling_top_p",". Question: Which answer doesn't support the idea that green OA isn't likely to cause subscription cancellations? 1) 6 2) 4 3) 2 4) 10. Answer: ","1) The answer doesn't support the idea that green OA isn't","4","0","0","0"
"108","15","sampling_top_p",". Question: How is the topic of slavery treated in inaugural speeches? 1) It is not treated with proper gravity, and referred to only in terms of progress 2) Is was mentioned 17 times in the Roosevelt address 3) It is often referenced in inaugural speeches from the 1850s through the 1960s 4) Its reference depends on the political party in power. Answer: ","2)











","1","0","0","0"
"210","15","sampling_top_p",". Question: Why is Parks stuck on Earth? 1) He is outlawed on his own planet 2) He must to finish his mission before his is allowed to leave 3) The warp beacon blew up 4) His rocket ship blew up. Answer: ","1.","3","0","0","0"
"29","15","sampling_top_p",". Question: Of the following options, who might enjoy reading this the most? 1) A creationist who wants to prove that evolution isn't real through the ways in which adopted and biological children are treated differently. 2) A potential parent deciding between adopting a child and having a biological child. 3) A preteen who's adopted and wants to learn more about the differences between parenting of adopted and biological children.  4) A high schooler interested in learning more about family dynamics and the chemical/evolutionary processes with regard to parenting.. Answer: ","2) A) A) A) A) A) A)","2","0","0.25","0"
"178","15","sampling_top_p",". Question: What does the author NOT rate for each class? 1) The difficulty of the workout. 2) The cost of each class.  3) The degree that the class requires contact with other participants.  4) If the skills are useful for self-defense.. Answer: ","2) The author: The author: The author: The class:","2","0","0.19999999999999998","0"
"321","15","sampling_top_p",". Question: How does Neeshan feel initially when he sees the Free'l doing magic correctly? 1) He is not surprised.  He knew he would be able to get them to do it eventually. 2) He wonders who helped them learn magic because he could take no credit for their work. 3) He almost feels a sense of pride and excitement. 4) He is angry because it took them too long to finally get it.. Answer: ","2) He is a lot of the to do not to do not","3","0","0","0"
"213","15","sampling_top_p",". Question: Why did Parks want to speak with Morgan? 1) Morgan had enough knowledge to help Parks build a beacon 2) Parks found Morgan by pure chance 3) Morgan had enough money to help Parks build a ship 4) Morgan could write Parks' story and spread it for him. Answer: ","Parks.","4","0","0","0"
"238","15","sampling_top_p",". Question: Why is it likely that reading was outlawed? 1) To save paper for environmental purposes  2) To make the population have a lower intelligence 3) To control what content the population was able to consume 4) So that readers could retain their power. Answer: ","2) To make the population.","3","0","0","0"
"63","15","sampling_top_p",". Question: Why did the addresses change in style over time? 1) The presidents had different problems to address 2) They were adapting to the changing populace 3) They deteriorated over time 4) They got less wordy. Answer: ","





The answer:



1","2","0","0","0"
"71","15","sampling_top_p",". Question: Which is true? 1) All newer ballparks have top-level seating closer to the field than ever 2) Newer ballparks do not have upper deck seating 3) All newer ballparks have top-level seating further away from the field than ever 4) Some newer ballparks have top-level seating further away from the field than ever. Answer: ","2)
2)
3)





","4","0","0","0"
