"experiment","id","max_length","n_retrieval_docs","top_k","generation_method","embedding_id","userprompt","n_tokens","docs_ids","similarities","predicted","gold","logits","bleu","rouge","correct"
"rag","60","10","10","10","beam","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: who played big enos in smokey and the bandit? Answer: ","1046","60_3,60_13,60_12,60_9,60_14,8_34,8_5,60_8,8_23,8_32","0.22910082340240479,0.24444139003753662,0.3376430869102478,0.36435842514038086,0.3653984069824219,0.3720358610153198,0.3750436305999756,0.37737512588500977,0.3941032886505127,0.4003102779388428"," Pat McCormick.
Pat McCorm","Pat McCormick (,Pat McCormick (,Pat McCormick (,Pat McCormick (","13.095948219299316,43.927024841308594,57.413116455078125,45.67352294921875,64.0450439453125,43.219844818115234,44.8744010925293,15.383308410644531,54.99562072753906,44.536338806152344","0.061033220311973134","0.6666666666666666","0"
"rag","23","10","10","10","beam","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: what proposition made the insurance commissioner an elected position? Answer: ","1000","23_6,23_3,23_2,23_11,23_7,23_1,23_5,23_4,77_33,16_34","0.263994038105011,0.33111047744750977,0.3373648524284363,0.3559664487838745,0.35733580589294434,0.36139976978302,0.3641723394393921,0.3808634877204895,0.38416147232055664,0.4105722904205322"," Proposition 103 in 1988, the elected office of","Proposition 103 in,Proposition 103 in,Proposition 103 in,Proposition 103 in 1988 ,","12.733199119567871,45.044097900390625,51.89480972290039,36.16101837158203,54.104549407958984,46.53778076171875,46.224830627441406,54.91954040527344,60.13477325439453,52.802284240722656","0.16508103044554204","0.5757575757575757","0"
"rag","93","10","10","10","beam","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: who sings i feel love with the blue man group? Answer: ","1039","93_5,93_11,93_10,93_6,93_9,7_9,7_25,7_2,7_10,93_2","0.3003239035606384,0.3054659962654114,0.3105131983757019,0.3527560830116272,0.3564140200614929,0.3587440252304077,0.359474778175354,0.3712630271911621,0.3728468418121338,0.377439022064209"," been looking for this song for a while now","Annette Strean provided,Annette Strean provided,Venus Hum toured,Annette providing","14.636629104614258,52.99102783203125,52.8160514831543,55.03859329223633,51.945335388183594,50.099552154541016,52.7093620300293,56.39118957519531,57.718441009521484,55.3785400390625","0","0","0"
"rag","74","10","10","10","beam","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: who has the most followers on the instagram? Answer: ","1059","74_3,74_1,74_2,74_12,74_4,74_17,74_16,74_11,74_29,74_20","0.20044457912445068,0.2092077136039734,0.22833585739135742,0.24093103408813477,0.24176883697509766,0.2568766474723816,0.3016618490219116,0.3019104599952698,0.31365281343460083,0.3469970226287842","n dior has the most followers on the","Selena Gomez is,Selena Gomez </Td>,Instagram 's own account ,,Instagram 's own account ,,Instagram 's own account ,","13.097368240356445,23.784942626953125,20.317211151123047,21.47235107421875,46.69540023803711,55.42900466918945,61.6490592956543,59.357032775878906,55.63956832885742,66.66390228271484","0","0","0"
"rag","38","10","10","10","beam","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: who is the singer of kal ho na ho? Answer: ","1037","38_1,93_6,38_10,38_3,38_7,38_18,38_5,38_4,38_6,7_10","0.3211721181869507,0.36287039518356323,0.36357367038726807,0.3702127933502197,0.37854766845703125,0.38480424880981445,0.3861570358276367,0.38759279251098633,0.38958537578582764,0.39854663610458374"," Sonu Nigam ===== Sonu Nig","Sonu Nigam .,Sonu Nigam .,also a sad version of the song in the film on which Sonu Nigam is joined by Alka Yagnik and Richa Sharma .,Sonu Nigam .,Sonu Nigam .,Alka Yagnik and,Richa Sharma .,Sonu Nigam .","13.780237197875977,42.07746505737305,50.14166259765625,60.34952926635742,47.956295013427734,31.61746597290039,21.21455955505371,46.639530181884766,43.11058807373047,57.337921142578125","0.12121093525642128","0.4358974358974359","0"
"rag","25","10","10","10","beam","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: who invented the cornell method of note taking? Answer: ","1035","25_2,25_3,25_20,25_11,25_10,25_4,25_12,60_8,25_9,25_8","0.2384340763092041,0.31078237295150757,0.312960147857666,0.3374788165092468,0.34667348861694336,0.3519471287727356,0.3594522476196289,0.3717901110649109,0.37875211238861084,0.37910354137420654","est l. boyer, a professor of","Walter Pauk ,,Walter Pauk ,,Walter Pauk , an education professor at Cornell University .,Walter Pauk ,,Walter Pauk ,","14.282354354858398,41.780948638916016,43.391387939453125,32.93841552734375,34.69525909423828,39.87455368041992,48.395206451416016,51.05613327026367,52.17864990234375,58.432552337646484","0.03759340464156993","0.028571428571428574","0"
"rag","92","10","10","10","beam","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: where did the tradition of gift giving come from? Answer: ","1051","92_5,92_24,92_21,92_3,92_8,92_7,92_13,92_11,92_2,79_9","0.29091566801071167,0.3027695417404175,0.3055112361907959,0.31406188011169434,0.3291306495666504,0.3321613669395447,0.33862966299057007,0.34069204330444336,0.34274566173553467,0.34353870153427124"," been told that it came from the pagan tradition","in ancient Rome with gift - giving during the Saturnalia holiday ,","12.273825645446777,49.02951431274414,51.509796142578125,50.53837203979492,50.38112258911133,58.651058197021484,58.93656921386719,47.07762908935547,44.1331787109375,44.783329010009766","0.018438392916390694","0.10526315789473685","0"
"rag","52","10","10","10","beam","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: when did john hart play the lone ranger? Answer: ","1077","52_9,52_11,52_12,52_21,52_10,52_25,52_6,52_16,52_5,52_29","0.26172739267349243,0.26706111431121826,0.27356040477752686,0.2822110652923584,0.28525567054748535,0.3029214143753052,0.31127095222473145,0.3328355550765991,0.336505651473999,0.35276657342910767","  The  Lone  Ranger  ","from 1952 until 1953 .,from 1952 until 1953 .,from 1952 until 1953 .,from 1952 until 1953 .,from 1952 until 1953 .","14.668302536010742,47.701904296875,30.02142906188965,55.827213287353516,49.86876678466797,52.128013610839844,68.3449935913086,44.338134765625,32.46656036376953,56.36650466918945","0","0","0"
"rag","91","10","10","10","beam","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: what country shares borders with both belarus and romania? Answer: ","1080","91_8,91_7,91_10,91_27,91_13,91_18,91_19,91_12,91_6,91_2","0.1734079122543335,0.19696277379989624,0.23994439840316772,0.24215376377105713,0.24621367454528809,0.25109565258026123,0.2541600465774536,0.256158709526062,0.26252591609954834,0.2626079320907593",".
Ukraine  is  a  ","Ukraine borders,Ukraine borders","16.090673446655273,30.570585250854492,51.4341926574707,18.981733322143555,21.94039535522461,52.29663848876953,21.538183212280273,52.564971923828125,35.94887161254883,47.25481414794922","0.061033220311973134","0.4","0"
"rag","33","10","10","10","beam","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: where does summer of the monkeys take place? Answer: ","1054","33_1,93_9,33_12,93_7,33_8,52_14,33_2,93_8,79_27,52_26","0.33461183309555054,0.3910679221153259,0.39425694942474365,0.4030362367630005,0.40659022331237793,0.409895122051239,0.4151307940483093,0.4183696508407593,0.4216434955596924,0.4293330907821655"," read the book summer of the monkeys and i","Oklahoma after,Oklahoma after,Missouri sharecroppers,Oklahoma after,Oklahoma after,Oklahoma after","15.303277969360352,50.5222282409668,54.68962478637695,56.282470703125,54.55374526977539,62.22412109375,64.30865478515625,62.755088806152344,49.92570114135742,52.44738006591797","0","0","0"
