"id","max_length","generation_method","n_retrieval_docs","top_k","userprompt","n_tokens","doc_indices","predicted","gold","logits","bleu","rouge","correct"
"0","15","sampling_top_p","5","10",". Why did Ronnie and Mom go to the Davis house after being kicked out?. Answer one of the following options: 1) They needed to hide from the authorities 2) They new that they would be able to read at the Davis house 3) Mr. Davis had offered Ronnie a place to stay whenever 4) Mr. Davis and his son had been evicted and the house was empty. Answer: ","83","240,93,296,155,102","1) They needed to hide from the authorities 
2) They","2","16.698326110839844,25.417278289794922,43.046043395996094,48.82235336303711,35.924049377441406,41.18824768066406,31.807636260986328,36.68977355957031,44.27157974243164,30.545886993408203,48.53644943237305,19.66973876953125,24.089763641357422,33.44404220581055,51.5157356262207","0","0.18181818181818182","0"
"1","15","sampling_top_p","5","10",". What is the author’s thesis?. Answer one of the following options: 1) That even Keynesian economists are misinterpreting some of the intentions of Keynes’ original theories 2) There are so many unknowns in Keynes’ theories that it has come time to develop a new set of economic theories separate from his 3) Keynesian economists are more united than divided 4) It’s not possible to know what Keynes’ true intentions were. Answer: ","99","240,93,296,155,102","3) Keynesian economists are more united than divided. 
","1","15.833928108215332,32.28692626953125,43.452720642089844,54.80942916870117,29.481294631958008,27.92984390258789,37.03485107421875,45.44070053100586,43.28910827636719,25.746973037719727,37.371009826660156,24.5438232421875,49.96611404418945,45.49986267089844,21.772432327270508","0","0","0"
"2","15","sampling_top_p","5","10",". What does the author credit the recent dramatic change in politics to? . Answer one of the following options: 1) The internet as a political tool 2) Geopolitical tension 3) Government dysfunction 4) The Democratic Party. Answer: ","49","240,93,296,155,102","1) The internet as a political tool

The author credits the","1","14.898544311523438,27.621360778808594,43.20090866088867,49.11806106567383,43.91698455810547,44.49831008911133,52.291500091552734,32.43790054321289,31.203418731689453,44.081748962402344,23.158700942993164,25.06415367126465,55.90348815917969,49.70890426635742,56.18775939941406","0","0.16666666666666669","0"
"3","15","sampling_top_p","5","10",". What is the author's overall feeling towards modern dentistry as a whole in this passage?. Answer one of the following options: 1) Apathetic; the author reports the developments in the dental industry in an unbiased manor 2) Negative; the author believes that all of the advancements of modern dentistry are an unnecessary scam  3) Positive; the author implies that modern dentistry has only improved the dental hygiene of the public 4) Mixed; the author acknowledges both positives and negative aspects of modern dentistry. Answer: ","107","240,93,296,155,102","3) Positive; the author implies that modern dentistry has only improved","4","16.740650177001953,31.098068237304688,39.117584228515625,54.73476028442383,51.78700637817383,48.86503219604492,50.26667785644531,31.987503051757812,47.1480598449707,36.150299072265625,31.282272338867188,32.75965118408203,38.86185073852539,39.53175354003906,35.85337829589844","0","0","0"
"4","15","sampling_top_p","5","10",". What level of depth does the author provide on the subjects they use to make their case?. Answer one of the following options: 1) Language is really the only thing covered in any depth 2) A broad, but not very deep assessment 3) They provide the reader with deeper arguments about the monetary system and striking tendencies than anything else 4) They provide deep, explanatory statistics to most arguments. Answer: ","82","240,93,296,155,102","4) They provide deep, explanatory statistics to most arguments. 
","2","17.336624145507812,30.85204315185547,52.103538513183594,55.8157958984375,48.05613708496094,48.334442138671875,44.917484283447266,26.53447723388672,37.267940521240234,46.34348678588867,36.07897186279297,34.32545471191406,62.33607864379883,47.30821228027344,23.775157928466797","0","0","0"
"5","15","sampling_top_p","5","10",". Why was a Dr. able to examine Parks without being suspicious?. Answer one of the following options: 1) The Dr. was not trained very well 2) Parks used a special technique to confuse and manipulate the Dr. 3) The anatomy of the beings on Parks' planet was almost identical to humans 4) Parks had too strong of a disguise. Answer: ","74","209,135,272,125,325","4) Parks had too strong of a disguise. 
This is","3","17.510879516601562,34.311767578125,48.308990478515625,58.74491882324219,36.316978454589844,37.21953582763672,32.25431823730469,40.886287689208984,38.58308410644531,27.764236450195312,47.74242401123047,41.02403259277344,22.51228904724121,28.26409912109375,32.63460159301758","0","0","0"
"6","15","sampling_top_p","5","10",". What role does technology play in Tannen’s views?. Answer one of the following options: 1) It allows the facts to surface and be shared 2) It allows the public to communicate clearly and carefully with each other 3) It can spread misinformation, and enable ready critiquing of each other 4) It supports the first amendment of which there is no criticism. Answer: ","80","209,135,272,125,325","4) It supports the first amendment of which there is no criticism.","3","16.460906982421875,35.93637466430664,47.04637145996094,55.40226364135742,51.355953216552734,51.98469161987305,43.654876708984375,38.96623229980469,54.584930419921875,42.488651275634766,50.4715461730957,49.25144958496094,46.04219055175781,28.50836753845215,57.9152717590332","0","0","0"
"7","15","sampling_top_p","5","10",". What does the author think that social media has the power to amplify?. Answer one of the following options: 1) Both Positive and Negative Social Behaviors 2) Negative Social Interactions 3) Antisocial Behaviors 4) Positive Altruistic Behavior. Answer: ","57","209,135,272,125,325","4) Positive Altruistic Behavior. The author believes that social media","1","15.745330810546875,29.93971824645996,46.67644500732422,65.08509826660156,63.18107604980469,31.06201171875,39.903526306152344,53.54170227050781,50.595733642578125,51.823822021484375,67.61872100830078,47.947349548339844,63.2332878112793,59.62315368652344,54.36444091796875","0","0","0"
"8","15","sampling_top_p","5","10",". What does the author suggest are some traits Said possesses?. Answer one of the following options: 1) Boldness, confidence 2) Vanity, disorganization 3) Inventiveness, shyness 4) Charisma, people-pleasing. Answer: ","53","209,135,272,125,325","1) Boldness, confidence. The author suggests that Said possesses bold","1","15.44375228881836,27.131357192993164,46.7822265625,58.80553436279297,39.09494400024414,57.60688781738281,46.676414489746094,47.368534088134766,52.3924446105957,63.33806610107422,42.2325325012207,66.62431335449219,60.30609130859375,49.347164154052734,56.058311462402344","0","0.18181818181818182","0"
"9","15","sampling_top_p","5","10",". What is a message of this article?. Answer one of the following options: 1) Technology will continue to change 2) It is important to understand the history of trains 3) Birmingham is a progressive city 4) Maglev was a failure. Answer: ","52","209,135,272,125,325","4) Maglev was a failure.

. What is the","1","17.271989822387695,28.18353843688965,39.83570098876953,57.82040023803711,36.19298553466797,29.801471710205078,42.77201461791992,38.63517379760742,53.29883575439453,36.567874908447266,22.057104110717773,19.3488712310791,40.518943786621094,39.716331481933594,42.894588470458984","0","0","0"
"10","15","sampling_top_p","5","10",". What caused Skippy to start hearing different voices?. Answer one of the following options: 1) Using his telepathy too much 2) Being hit in the head by Henry 3) Spending too much on his own 4) Getting over excited by winning too much money. Answer: ","58","255,181,212,269,315","1) Using his telepathy too much
2) Being hit in","2","15.989124298095703,26.2591609954834,47.86555480957031,47.640506744384766,58.402034759521484,32.925872802734375,28.592300415039062,35.97193145751953,30.563156127929688,41.947383880615234,26.550981521606445,40.44590759277344,48.19898986816406,30.74664306640625,38.924278259277344","0","0.18181818181818182","0"
"11","15","sampling_top_p","5","10",". What was different about the Kung Fu class?. Answer one of the following options: 1) Participants sparred with each other.  2) The author was not allowed to participate, but was only allowed to watch.  3) The participants wore uniforms.  4) The class was done in the park. . Answer: ","69","255,181,212,269,315","4) The class was done in the park.

. What","2","14.9232177734375,25.011777877807617,41.697845458984375,44.29730987548828,51.62627410888672,45.1168212890625,36.72983932495117,45.290348052978516,41.54706573486328,33.2078971862793,62.428077697753906,38.46711730957031,16.23077964782715,15.627264022827148,49.935516357421875","0","0","0"
"12","15","sampling_top_p","5","10",". What did Morgan assume when he thought that principles of business would be the same in both worlds?. Answer one of the following options: 1) That he would be able to start a business without any issues 2) That he would be able to get a newspaper for free 3) That his money would be good in this world 4) That he could negotiate the price of items at the store. Answer: ","82","255,181,212,269,315","4) That he could negotiate the price of items at the store.","3","16.764995574951172,27.097551345825195,41.870361328125,55.953182220458984,59.54022979736328,48.4227409362793,35.80413055419922,44.90545654296875,46.673912048339844,39.04043960571289,34.585906982421875,37.75822448730469,42.907630920410156,35.522090911865234,47.2297248840332","0","0","0"
"13","15","sampling_top_p","5","10",". What is the main factor that makes maglev trains more successful in Asia?. Answer one of the following options: 1) More efficient organization of construction projects 2) A greater importance on speed of travel 3) Increased passenger volume 4) More accurate train schedules. Answer: ","55","255,181,212,269,315","1) More efficient organization of construction projects. Maglev trains require a","3","15.478764533996582,24.500085830688477,41.446739196777344,45.67707443237305,35.2441520690918,33.57557678222656,39.38941955566406,34.542972564697266,35.650794982910156,41.80487823486328,34.95545196533203,34.248992919921875,37.18452453613281,38.528961181640625,24.67998504638672","0","0","0"
"14","15","sampling_top_p","5","10",". The narrator's false sense of superiority. Answer one of the following options: 1) leads him to believe that he was the mastermind behind the victory over the high roller, but the kid actually was the one who saved the day. 2) almost got them killed when the big roller came to play. 3) turns out to be a huge joke at his expense because they are all exposed. 4) actually comes in handy because he comes up with a great plan to use when the high roller comes in.. Answer: ","106","255,181,212,269,315","1) leads him to believe that he was the mastermind behind the","1","15.32625675201416,26.939476013183594,50.79853057861328,51.5125617980957,57.23352813720703,47.46588134765625,34.923622131347656,48.71537399291992,53.91397476196289,48.97550964355469,44.19314956665039,39.11444854736328,36.871883392333984,38.10165023803711,50.98406982421875","0","0.15384615384615385","0"
"15","15","sampling_top_p","5","10",". How was Nash’s family involved in the story?. Answer one of the following options: 1) His two sons and previous wife were talked about 2) His father was a large influence on his life 3) His mother’s influence was discussed at length 4) His parents and wife were discussed. Answer: ","64","111,158,278,169,265","4) His parents and wife were discussed. 
a) How","1","17.269399642944336,28.61326789855957,48.85844421386719,60.644187927246094,62.73246383666992,51.840087890625,37.71158218383789,45.794944763183594,25.962919235229492,56.89304733276367,51.97923278808594,25.106184005737305,23.276029586791992,40.123592376708984,51.49065399169922","0","0","0"
"16","15","sampling_top_p","5","10",". Which martial art did the author think was the hardest workout?. Answer one of the following options: 1) Tae Kwon Do 2) Kung Fu 3) Jujistui 4) Karate. Answer: ","46","111,158,278,169,265","1) Tae Kwon Do
2) Kung Fu
","3","13.723121643066406,22.39244842529297,42.67554473876953,51.78379821777344,49.49531555175781,48.984161376953125,33.74395751953125,36.971534729003906,45.253597259521484,19.2048282623291,43.34196472167969,56.268409729003906,39.34212112426758,42.40668869018555,53.497772216796875","0","0","0"
"17","15","sampling_top_p","5","10",". What type of media does the author believe will be the most influential on the immediate future?. Answer one of the following options: 1) Government-approved media 2) Visual media 3) Participatory media 4) Print media. Answer: ","49","111,158,278,169,265","4) Print media. The author believes that print media will be the","3","14.394826889038086,26.507694244384766,38.88911056518555,62.12749099731445,54.990455627441406,37.392356872558594,44.41112518310547,63.082183837890625,51.88041687011719,58.173736572265625,49.345985412597656,47.922828674316406,42.715633392333984,35.51764678955078,40.999732971191406","0","0","0"
"18","15","sampling_top_p","5","10",". Why do some evangelical authors believe that the Antichrist will not be Jewish?. Answer one of the following options: 1) They believe that the Antichrist is Henry Kissinger 2) It is thought that the Antichrist will make an agreement with Israel, which would be more likely by a gentile 3) They think that the Antichrist will be a United States President 4) It is believed that the Antichrist will not come until after the upcoming turn of the century. Answer: ","103","111,158,278,169,265","1) They believe that the Antichrist is Henry Kissinger.","2","16.655818939208984,27.190092086791992,49.040382385253906,53.207271575927734,50.47739791870117,51.32164764404297,52.73765182495117,45.310585021972656,30.869157791137695,30.51113510131836,45.255367279052734,61.632022857666016,56.109554290771484,40.060935974121094,45.261253356933594","0","0","0"
"19","15","sampling_top_p","5","10",". Why did the Maglev trains not become popular in the western hemisphere?. Answer one of the following options: 1) People did not like traveling so fast 2) The technology was unreliable 3) Their cost was not justifiable 4) All of the other answers are correct. Answer: ","58","111,158,278,169,265","4) All of the other answers are correct. The Maglev trains","3","15.88388729095459,24.204986572265625,36.68497085571289,54.41072463989258,54.591026306152344,63.29826354980469,46.531734466552734,35.65255355834961,47.09891128540039,35.02687072753906,52.647972106933594,34.60548400878906,43.73209762573242,45.36149978637695,39.559879302978516","0","0","0"
"20","15","sampling_top_p","5","10",". Who was on the list of those who knew about Kennedy's affair?. Answer one of the following options: 1) The Secret Service members were the only ones who knew what was going on. 2) His wife and mistress were the only two who knew about the affair. 3) He did not have an affair. 4) His aids, secretary, drivers, guards, Secret Service, the domestic staff, and many friends and family members of both parties.. Answer: ","95","38,105,239,75,344","1) The Secret Service members were the only ones who knew what was","4","17.65797233581543,32.18614959716797,54.49072265625,52.120548248291016,54.52080535888672,40.207340240478516,33.46099090576172,48.46171569824219,53.35655975341797,44.60276794433594,36.95087814331055,55.24412536621094,32.84557342529297,48.545902252197266,44.297637939453125","0","0","0"
"21","15","sampling_top_p","5","10",". What is the musical’s relationship like between Monica and Linda?. Answer one of the following options: 1) Monica and Linda conspired together to hatch the plan 2) Monica keeps reiterating the story over and over in different ways to Linda 3) Linda does not believe what Monica is telling here and discredits it 4) Linda presses for details and Monica obliges. Answer: ","79","38,105,239,75,344","4) Linda presses for details and Monica obliges. 
This","4","15.95026969909668,36.12763595581055,50.1451301574707,55.415382385253906,31.97081756591797,48.79962921142578,34.30561828613281,49.365745544433594,42.85593032836914,33.48713684082031,43.69853591918945,56.34998321533203,43.54530334472656,23.560298919677734,26.459365844726562","0","0.19999999999999998","0"
"22","15","sampling_top_p","5","10",". What made father realize he couldn't memory-wash Ronnie?. Answer one of the following options: 1) Others would notice and it would hurt Dad's reputation 2) Ronnie would just learn to read again 3) The technology wouldn't work on someone so young 4) Ronnie had already ingrained reading in his memory permanently . Answer: ","71","38,105,239,75,344","1) Others would notice and it would hurt Dad's reputation 
","1","16.44212532043457,25.288785934448242,44.99152374267578,47.04554748535156,43.33689880371094,34.066829681396484,42.03895568847656,41.12888717651367,41.07569122314453,30.790771484375,41.21824264526367,28.052526473999023,28.745960235595703,50.72037887573242,18.736698150634766","0","0.16666666666666669","0"
"23","15","sampling_top_p","5","10",". Why do owners want to build large ballparks?. Answer one of the following options: 1) they want to increase the total number of seats 2) they can afford it and don't need to budget 3) they want to sell more expensive tickets to the rich 4) they want to help bring an economic boom to the area. Answer: ","71","38,105,239,75,344","1) they want to increase the total number of seats 
2","3","14.537314414978027,24.393936157226562,49.19874572753906,48.7535285949707,46.042274475097656,52.230831146240234,46.598655700683594,40.770381927490234,37.870243072509766,34.76748275756836,39.066261291503906,37.39369583129883,48.25053024291992,18.551374435424805,25.32459259033203","0","0","0"
"24","15","sampling_top_p","5","10",". Which answer doesn't support the idea that green OA isn't likely to cause subscription cancellations?. Answer one of the following options: 1) 6 2) 4 3) 2 4) 10. Answer: ","43","38,105,239,75,344","1) 6 
Explanation: The statement ""green OA is","4","14.397584915161133,22.7016544342041,45.167659759521484,41.55779266357422,35.89585876464844,19.00481414794922,25.1658935546875,28.813125610351562,43.680419921875,35.378387451171875,24.69318962097168,35.64141082763672,28.017051696777344,30.29523277282715,37.6195182800293","0","0","0"
"25","15","sampling_top_p","5","10",". How is the topic of slavery treated in inaugural speeches?. Answer one of the following options: 1) It is not treated with proper gravity, and referred to only in terms of progress 2) Is was mentioned 17 times in the Roosevelt address 3) It is often referenced in inaugural speeches from the 1850s through the 1960s 4) Its reference depends on the political party in power. Answer: ","80","108,210,29,178,321","1) It is not treated with proper gravity, and referred to only","1","17.67760467529297,28.502290725708008,46.22974395751953,48.55393981933594,50.583377838134766,49.88848876953125,37.630226135253906,44.803443908691406,37.36033630371094,32.884098052978516,47.06867218017578,46.24784469604492,29.495132446289062,42.01646041870117,40.37413787841797","0","0.15384615384615385","0"
"26","15","sampling_top_p","5","10",". Why is Parks stuck on Earth?. Answer one of the following options: 1) He is outlawed on his own planet 2) He must to finish his mission before his is allowed to leave 3) The warp beacon blew up 4) His rocket ship blew up. Answer: ","57","108,210,29,178,321","4) His rocket ship blew up.","3","15.568309783935547,30.194124221801758,47.98659133911133,53.963863372802734,49.214698791503906,34.512245178222656,35.53779983520508,30.54481315612793,44.664424896240234,37.380863189697266,33.79633712768555","0","0","0"
"27","15","sampling_top_p","5","10",". Of the following options, who might enjoy reading this the most?. Answer one of the following options: 1) A creationist who wants to prove that evolution isn't real through the ways in which adopted and biological children are treated differently. 2) A potential parent deciding between adopting a child and having a biological child. 3) A preteen who's adopted and wants to learn more about the differences between parenting of adopted and biological children.  4) A high schooler interested in learning more about family dynamics and the chemical/evolutionary processes with regard to parenting.. Answer: ","117","108,210,29,178,321","1) A creationist who wants to prove that evolution isn't real","2","18.523040771484375,31.269975662231445,51.946075439453125,41.021305084228516,51.76736068725586,38.547508239746094,42.80152893066406,39.22932052612305,40.68778991699219,28.728683471679688,47.81886672973633,37.11748504638672,32.45966339111328,42.753639221191406,37.5661735534668","0","0","0"
"28","15","sampling_top_p","5","10",". What does the author NOT rate for each class?. Answer one of the following options: 1) The difficulty of the workout. 2) The cost of each class.  3) The degree that the class requires contact with other participants.  4) If the skills are useful for self-defense.. Answer: ","64","108,210,29,178,321","The author does not rate for each class. 
The author does","2","17.558639526367188,26.849977493286133,64.16534423828125,54.94037628173828,47.67481994628906,53.670780181884766,57.005489349365234,53.84568405151367,48.87106704711914,49.48537063598633,41.687522888183594,23.765010833740234,26.037309646606445,52.462493896484375,44.99139404296875","0","0","0"
