"id","max_length","generation_method","n_retrieval_docs","top_k","userprompt","n_tokens","doc_indices","predicted","gold","logits","bleu","rouge","correct"
"0","15","beam","4","20","Question: what culture region is germany a part of? Answer: ","15","60,23,93,74",".
Question: what culture region is france a part of?","Central Germany (","18.281421661376953,39.019161224365234,54.34712219238281,21.334814071655273,54.282466888427734,57.656192779541016,57.23706817626953,61.35042953491211,61.487125396728516,59.10436248779297,35.510284423828125,57.05702209472656,62.994266510009766,58.61284255981445,66.63236236572266","0","0","0"
"1","15","beam","4","20","Question: what does the transfer case control module do? Answer: ","15","60,23,93,74","The transfer case control module (TCCM) is a computer that","transfers power from the transmission to the front and rear axles by means of drive shafts .,transfers power from the transmission to the front and rear axles by,synchronizes the difference between the rotation of the front and rear wheels ,,may contain one or more sets of low range gears for off - road use .","15.650676727294922,19.374584197998047,54.204246520996094,55.80941390991211,50.65351486206055,58.235504150390625,47.81513595581055,37.271514892578125,36.09120559692383,47.33002471923828,55.82411193847656,47.60939407348633,47.68775177001953,36.10823440551758,43.583839416503906","0","0.06468531468531467","0"
"2","15","beam","4","20","Question: who sings the whiskey ain't workin anymore? Answer: ","15","60,23,93,74"," mcshane.
Question: who sings the whiskey ain't","Travis Tritt and Marty Stuart .,Travis Tritt --,Marty Stuart --,Tim Passmore --,Dennis Locorriere --,Travis Tritt and,Travis Tritt and,Travis Tritt and Marty Stuart .,Travis Tritt and,Marty Stuart .","15.426728248596191,34.724884033203125,37.35866928100586,25.692546844482422,37.71011734008789,52.18882369995117,49.78269958496094,18.976192474365234,54.4503173828125,50.64041519165039,63.47296142578125,55.78445816040039,62.879398345947266,59.66621780395508,55.57237243652344","0","0","0"
"3","15","beam","4","20","Question: what type of database is library literature and information science? Answer: ","16","60,23,93,74","�library literature and information science】 is a database.
Question","bibliographic database,bibliographic database,bibliographic database,bibliographic database that,bibliographic database","12.173735618591309,24.054309844970703,13.771827697753906,22.45334815979004,24.947338104248047,47.871761322021484,28.76852035522461,19.639036178588867,30.09731101989746,17.351213455200195,42.636390686035156,41.65083312988281,29.302810668945312,37.228458404541016,17.405765533447266","0","0.17878787878787877","0"
"4","15","beam","4","20","Question: who played big enos in smokey and the bandit? Answer: ","18","38,25,92,52","ie harwell.
Question: who played big enos in smo","Pat McCormick (,Pat McCormick (,Pat McCormick (,Pat McCormick (","17.060958862304688,37.84514236450195,21.336397171020508,25.847890853881836,48.14002227783203,49.249916076660156,18.790342330932617,54.42218780517578,54.85948181152344,61.395782470703125,60.31623840332031,47.95075225830078,26.214698791503906,59.153961181640625,62.543434143066406","0","0","0"
"5","15","beam","4","20","Question: where did hasta la vista baby come from? Answer: ","15","38,25,92,52","I was watching the movie ""The Mask"" and I heard the phrase","Arnold Schwarzenegger 's title character from the 1991 science fiction thriller film Terminator 2 : Judgment Day .","14.542303085327148,15.052725791931152,55.73699188232422,53.035621643066406,38.28544235229492,44.21368408203125,26.13116455078125,23.455141067504883,24.842023849487305,55.90077590942383,45.74256134033203,27.814756393432617,53.862022399902344,19.026233673095703,35.65220642089844","0.012157904028591189","0.07142857142857144","0"
"6","15","beam","4","20","Question: sequel to a christmas story it runs in the family? Answer: ","17","38,25,92,52"," been trying to find a sequel to a christmas story it runs in","My Summer Story ,,My Summer Story ,","15.088116645812988,57.10688781738281,55.393333435058594,58.84157943725586,60.30723571777344,55.9095573425293,57.26606369018555,52.036251068115234,45.23720169067383,56.22396469116211,55.446556091308594,56.96487045288086,50.7263069152832,61.57756805419922,59.77073287963867","0","0.125","0"
"7","15","beam","4","20","Question: who sings every light in the house is on? Answer: ","15","38,25,92,52"," brown.
Question: who sings every light in the house is on","Trace Adkins .,Trace Adkins .,Trace Adkins .,American country music artist Trace Adkins .","15.176082611083984,31.479351043701172,52.52699661254883,52.549835205078125,19.702754974365234,56.11674499511719,54.06139373779297,62.87672424316406,53.959625244140625,57.78411865234375,59.924015045166016,62.27442169189453,61.09371566772461,57.495216369628906,58.18385696411133","0","0","0"
"8","15","beam","4","20","Question: who sang i'm gonna run away from you? Answer: ","15","91,33,68,31"," brown.
Question: who sang i'm gonna run away from you","Tami Lynn (,Tami Lynn (,Tami Lynn (,Tami Lynn (,Tami Lynn (","16.09423828125,31.26677703857422,47.02714538574219,45.979915618896484,18.785167694091797,49.323333740234375,47.66253662109375,61.75792694091797,53.69519805908203,56.993900299072266,56.7300910949707,62.198509216308594,59.83952713012695,60.611846923828125,61.90062713623047","0","0","0"
"9","15","beam","4","20","Question: where does patience is a virtue come from? Answer: ","15","91,33,68,31","from the book of Proverbs.

Patience is a","`` Psychomachia , '' an epic poem written in the fifth century . </P>,`` Psychomachia , '' an,`` Psychomachia , '' an epic poem written in the fifth century .,`` Psychomachia , '' an epic poem written in the fifth century .","14.37179946899414,14.982951164245605,47.43758010864258,57.13747024536133,49.68316650390625,52.668113708496094,26.544849395751953,30.062232971191406,47.079444885253906,48.035709381103516,20.75117301940918,15.645792961120605,26.00754737854004,54.32959747314453,52.79029846191406","0.028599617161713803","0.08660130718954248","0"
"10","15","beam","4","20","Question: public companies are part of what economic sector? Answer: ","15","91,33,68,31","public companies are part of what economic sector
","public sector (,public sector ( also called the state sector ) is,The public sector (","14.832281112670898,15.318975448608398,44.82769775390625,34.98842239379883,51.31684494018555,43.808685302734375,52.08095169067383,54.8602180480957,58.43688201904297,38.82355499267578,17.94436264038086","0.026487690798830184","0.3378787878787879","0"
"11","15","beam","4","20","Question: who proclaimed 5th october as world’s teachers day? Answer: ","18","91,33,68,31","est hemingway.
Question: who was the first woman to","UNESCO / ILO Recommendation,UNESCO / ILO Recommendation","16.577625274658203,38.318023681640625,21.360326766967773,29.35133171081543,55.75288391113281,49.482425689697266,51.894893646240234,19.244869232177734,53.31728744506836,40.389102935791016,59.321861267089844,57.86637878417969,60.64784240722656,56.56390380859375,51.596778869628906","0","0","0"
"12","15","beam","4","20","Question: days of our lives cast doug and julie? Answer: ","16","81,63,45,53"," been watching days of our lives since i was a little girl and i","Bill Hayes and,Susan Seaforth Hayes .,Doug is portrayed by Bill Hayes and,Julie is portrayed by Susan Seaforth Hayes .,Bill Hayes and,Susan Seaforth Hayes .,Bill Hayes and,Susan Seaforth Hayes","15.11338996887207,55.466575622558594,54.70341491699219,50.67018508911133,50.61787033081055,56.29620361328125,56.98583221435547,51.00368118286133,53.013694763183594,56.75670623779297,53.0338134765625,59.2799072265625,60.281925201416016,53.91447448730469,52.70613479614258","0.01758542189440898","0.05602240896358543","0"
"13","15","beam","4","20","Question: who's gonna save my soul now breaking bad? Answer: ","15","81,63,45,53"," mckellen.
Ian McKellen is a legend.
","the closing scene of the final episode of the first season of","12.868760108947754,33.93517303466797,38.593482971191406,41.33523178100586,53.1875,52.127620697021484,20.862668991088867,57.55218505859375,56.22639083862305,47.40409469604492,51.249732971191406,46.701133728027344,48.30137252807617,54.498138427734375,51.177490234375","0","0","0"
"14","15","beam","4","20","Question: who is hosting e live from the red carpet? Answer: ","15","81,63,45,53"," hecox and hannah hart.
Question: who is hosting","Ryan Seacrest and,Giuliana Rancic .,Ryan Seacrest and,Giuliana Rancic .","14.649557113647461,28.982479095458984,22.97905158996582,53.415565490722656,19.389373779296875,24.884565353393555,19.619720458984375,22.243234634399414,48.63400650024414,53.274085998535156,21.155193328857422,54.23777770996094,52.78764724731445,59.35708236694336,60.428001403808594","0.028599617161713803","0.09090909090909091","0"
"15","15","beam","4","20","Question: who performed the first c section in 1794? Answer: ","15","81,63,45,53","..?
Question: who performed the first c section in 1794","Dr. Jesse Bennett (,Dr. Jesse Bennett (,Dr. Jesse Bennett (,Dr. Jesse Bennett (,Dr. Jesse Bennett (","13.039373397827148,50.86842727661133,44.34864807128906,54.90468215942383,17.954614639282227,50.78762435913086,45.799560546875,59.28444290161133,52.25865173339844,58.64195251464844,48.429134368896484,45.990562438964844,52.37239074707031,61.126277923583984,40.36241912841797","0","0","0"
"16","15","beam","4","20","Question: what tool is available from microsoft as an alternative to the usmt for smaller migrations? Answer: ","24","67,78,27,39"," been using the usmt for years and have never had a problem with","Windows Easy Transfer ,,Windows Easy Transfer ,,Windows Easy Transfer ,","13.625776290893555,49.09013748168945,52.87863540649414,36.67064666748047,43.05921173095703,50.49555206298828,39.52943801879883,44.227298736572266,53.57752990722656,46.981971740722656,49.8131103515625,53.3175163269043,52.4013671875,49.30380630493164,53.196407318115234","0","0","0"
"17","15","beam","4","20","Question: who is the original singer of just when i needed you most? Answer: ","18","67,78,27,39"," matthews.
Question: who is the original singer of just","Randy VanWarmer .,Randy VanWarmer .,Randy VanWarmer .,American singer - songwriter Randy VanWarmer .,Randy VanWarmer .","15.568904876708984,24.406002044677734,40.36711883544922,53.819801330566406,40.678035736083984,50.7083625793457,20.571672439575195,53.12474822998047,45.94813537597656,57.000511169433594,54.59980392456055,65.03194427490234,65.75762939453125,51.5164680480957,54.522308349609375","0.02573285025273419","0.02857142857142857","0"
"18","15","beam","4","20","Question: when did they stop putting lead in paint? Answer: ","15","67,78,27,39","in 1978.

Question: when did they stop putting asbestos in","1992 ,","14.159103393554688,15.712139129638672,38.18231201171875,45.47686004638672,47.871402740478516,20.02522087097168,15.176885604858398,52.77461242675781,55.25090789794922,64.40213775634766,60.658390045166016,58.37216567993164,59.633453369140625,43.982295989990234,48.773685455322266","0","0","0"
"19","15","beam","4","20","Question: who does brant daugherty play in pretty little liars? Answer: ","19","67,78,27,39"," harding.
Question: who does brant daugherty play","Noel Kahn on,Noel Kahn on,Noel Kahn on,Noel Kahn on,Noel Kahn on","17.20901107788086,22.81665802001953,31.707429885864258,47.98284149169922,47.01723861694336,20.49779510498047,50.542964935302734,43.244171142578125,52.12974166870117,51.36776351928711,36.9756965637207,52.18426513671875,43.137264251708984,39.57691192626953,56.63010787963867","0","0","0"
"20","15","beam","4","20","Question: who sings the theme song for the proud family? Answer: ","15","69,42,66,9"," raymond.
Question: who sings the theme song for the proud","Destiny 's Child (,Solange Knowles &,Destiny 's Child (,Destiny 's Child (,Solange Knowles &,Solange Knowles &","15.638877868652344,21.355751037597656,35.00764083862305,46.48866653442383,48.91473388671875,20.472869873046875,50.83576965332031,51.613548278808594,61.06928253173828,55.29665756225586,60.51203536987305,63.572837829589844,55.26172637939453,48.72670364379883,55.00194549560547","0","0","0"
"21","15","beam","4","20","Question: who sang the song good morning good morning? Answer: ","15","69,42,66,9"," brown.
Question: who sang the song good morning good morning?","Judy Garland and,Mickey Rooney .,Debbie Reynolds ,,Gene Kelly and,Donald O'Connor .","13.968326568603516,29.118045806884766,48.03428268432617,48.109580993652344,17.10391616821289,51.549285888671875,51.97471618652344,63.29468536376953,57.50835037231445,64.26087951660156,55.633480072021484,60.8739128112793,53.01487350463867,59.26433181762695,56.18543243408203","0","0","0"
"22","15","beam","4","20","Question: who wrote were going on a bear hunt? Answer: ","15","69,42,66,9","ula morris.
Question: who wrote the very hungry caterp","Michael Rosen and,Michael Rosen and,Michael Rosen and,Michael Rosen and,Michael Rosen and","14.269098281860352,39.466060638427734,26.311500549316406,24.104324340820312,46.349998474121094,49.889923095703125,17.96785545349121,53.20530319213867,55.53440475463867,58.22458267211914,47.77753829956055,37.00697708129883,27.50867462158203,36.48381042480469,45.87644577026367","0","0","0"
"23","15","beam","4","20","Question: who directed the iconic animated short educational film ek anek aur ekta? Answer: ","20","69,42,66,9","o and juliet.
Question: who directed the iconic animated short","Vijaya Mulay .,Vijaya Mulay </Td>,Vijaya Mulay </Td>,Vijaya Mulay .,Vijaya Mulay .","14.387197494506836,31.506370544433594,27.13811492919922,50.65972137451172,51.98799514770508,46.47202682495117,53.052154541015625,19.608205795288086,53.9526481628418,43.742279052734375,62.142765045166016,61.175025939941406,62.718502044677734,65.13521575927734,62.058753967285156","0","0","0"
"24","15","beam","4","20","Question: who sings the song one thing leads to another? Answer: ","15","26,59,18,89"," brown.
Question: who sings the song one thing leads to another","new wave rock band The Fixx ,","14.605722427368164,26.238338470458984,49.19642639160156,50.99666976928711,19.137113571166992,52.5263786315918,49.74263381958008,63.72640609741211,53.074134826660156,62.93842315673828,52.45152282714844,50.698875427246094,59.03813171386719,60.76582336425781,64.04912567138672","0","0.11764705882352942","0"
"25","15","beam","4","20","Question: where does florida natural orange juice come from? Answer: ","15","26,59,18,89"," been drinking florida natural orange juice for years and i love it.","Lake Wales , Florida .,primarily in Polk County , Florida ),primarily in Polk County , Florida )","15.473690032958984,55.25919723510742,55.39743423461914,51.84700393676758,30.839588165283203,51.474300384521484,55.7815055847168,58.86730194091797,53.50459289550781,56.33313751220703,56.89414978027344,52.39609146118164,54.54378128051758,56.77922058105469,55.307884216308594","0","0.12287581699346406","0"
"26","15","beam","4","20","Question: who propounded the idea of basic education in india? Answer: ","17","26,59,18,89","est betham.
Question: who propounded the idea of","Mahatma Gandhi are,Mahatma Gandhi are,Mahatma Gandhi are","14.547186851501465,32.37617492675781,23.359922409057617,22.383243560791016,27.923614501953125,23.939823150634766,47.72931671142578,18.65530776977539,50.61063003540039,48.31218719482422,59.33552551269531,23.898160934448242,56.97901916503906,59.114810943603516,58.24552917480469","0","0","0"
"27","15","beam","4","20","Question: when was i look at the world poem written? Answer: ","15","26,59,18,89","est hemingway wrote the poem in 1927.
Question: what","30 -- 31 October 2000 </Td>","16.580501556396484,34.27761459350586,27.589792251586914,34.81028366088867,56.76150894165039,53.419673919677734,51.5157585144043,49.85969161987305,55.23604965209961,51.186344146728516,52.43306350708008,50.915287017822266,26.277727127075195,52.51136016845703,54.87451934814453","0","0","0"
"28","15","beam","4","20","Question: what is the meaning of the name habib? Answer: ","15","87,97,7,44","�abīb is a male Arabic name meaning ""lover,","beloved '',`` beloved '' .,`` beloved '' .,beloved ''","14.802891731262207,25.597991943359375,25.011234283447266,23.918283462524414,35.44094467163086,26.00662612915039,40.431304931640625,34.25701904296875,35.801673889160156,33.03720474243164,36.254451751708984,46.81760025024414,39.81062698364258,36.20703125,62.32211685180664","0","0","0"
"29","15","beam","4","20","Question: what country shares borders with both belarus and romania? Answer: ","17","87,97,7,44","land.
Question: what country shares borders with both belarus and","Ukraine borders,Ukraine borders","15.5210542678833,35.382476806640625,49.26654815673828,50.5676383972168,24.586320877075195,52.436912536621094,57.57383346557617,57.65614700317383,57.629791259765625,64.5572738647461,60.12432098388672,58.263465881347656,56.592533111572266,26.290966033935547,62.39229965209961","0.023457495174891017","0.16666666666666669","0"
"30","15","beam","4","20","Question: what is the movie new jersey drive about? Answer: ","15","87,97,7,44","New Jersey Drive is a movie about a young man named John who is","joy riding black teenagers in 1990s Newark , New Jersey ,,joy riding black teenagers in 1990s Newark , New Jersey ,,joy riding black teenagers in 1990s Newark , New Jersey , then known as the `` car theft capital of the world '' .","13.81863784790039,17.203350067138672,64.72490692138672,54.881256103515625,49.39951705932617,57.07793426513672,53.18666076660156,56.73965835571289,59.31449508666992,54.51983642578125,56.292236328125,56.03507995605469,62.127994537353516,57.95476150512695,56.00391387939453","0.041263216881455095","0.15634606938954765","0"
"31","15","beam","4","20","Question: when does the next apollo book come out? Answer: ","15","87,97,7,44"," been working on it for a while now, but i havent had","May 1 , 2018 .,May 1 , 2018 .,May 1 , 2018 .,May 1 , 2018 .","16.840736389160156,53.45801544189453,53.663700103759766,59.286773681640625,59.0423698425293,55.608341217041016,59.94971466064453,63.65494918823242,59.06602478027344,57.66846466064453,52.67912292480469,52.43947982788086,55.12086868286133,49.34490203857422,48.25848388671875","0","0","0"
"32","15","beam","4","20","Question: who played joey's agent estelle on friends? Answer: ","16","84,96,15,17"," gillan.
Question: who played joey's agent est","June Gable (,June Gable (,June Gable (,June Gable (,June Gable (","15.280882835388184,22.579526901245117,24.476869583129883,38.28974151611328,48.070709228515625,44.916133880615234,18.647130966186523,51.850059509277344,49.3258171081543,60.01845169067383,60.519309997558594,56.76633834838867,46.37997055053711,64.83070373535156,56.452003479003906","0","0","0"
"33","15","beam","4","20","Question: what does the sun represent on the uruguay flag? Answer: ","17","84,96,15,17","land.
Question: what does the sun represent on the urugu","represents the May Revolution of 1810 ;,a figurative sun that represents Inti , the sun god of the Inca religion .,the May Revolution of 1810 ;,the May Revolution of 1810 ;,the May Revolution of 1810 ;,Inti , the sun god of the Inca religion .","13.162858009338379,22.28675651550293,49.151100158691406,55.028717041015625,18.639848709106445,51.844886779785156,58.28371047973633,57.87602615356445,61.735774993896484,59.39949035644531,52.63290786743164,58.59147644042969,62.89729309082031,56.93826675415039,42.34405517578125","0.06302647598688789","0.20736714975845408","0"
"34","15","beam","4","20","Question: who did michael showers play on vampire diaries? Answer: ","16","84,96,15,17"," somerhalder.
Question: who did michael showers play","The Man (,The Man (,The Man (,The Man (,The Man (","16.953266143798828,28.378801345825195,44.93031692504883,45.754356384277344,44.237586975097656,49.75177001953125,46.69267654418945,21.659517288208008,52.346588134765625,47.865543365478516,57.36964797973633,55.04438018798828,49.51765441894531,52.28363800048828,60.32464599609375","0","0","0"
