"experiment","id","max_length","n_retrieval_docs","top_k","generation_method","embedding_id","userprompt","n_tokens","docs_ids","similarities","perplexity"
"rag","15","15","1","1","sampling_top_p","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: is aluminium a ferrous or non ferrous metal?","119","15_1","0.20284616947174072","13.198974609375"
"rag","5","15","1","1","sampling_top_p","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: who sang i want to be bobbys girl?","117","5_2","0.2703235149383545","263.2880859375"
"rag","18","15","1","1","sampling_top_p","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: yo la tengo theres a riot going on release date?","119","18_1","0.2546830177307129","2.02782940864563"
"rag","9","15","1","1","sampling_top_p","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: when did john hart play the lone ranger?","118","9_6","0.250149667263031","7.495715618133545"
"rag","6","15","1","1","sampling_top_p","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: when did seat belts become law in ontario?","115","6_1","0.25398796796798706","1.6191757917404175"
"rag","13","15","1","1","sampling_top_p","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: what is the approximate volume of blood in your body?","117","13_5","0.23214107751846313","3.733213186264038"
"rag","8","15","1","1","sampling_top_p","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: who sings i'm going to soak up the sun?","116","8_6","0.4218176007270813","1.067156434059143"
"rag","17","15","1","1","sampling_top_p","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: anastomosis between the epididymis and the vas deferens?","118","17_6","0.243108332157135","1.3667834997177124"
"rag","7","15","1","1","sampling_top_p","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: where would a subcutaneous injection be made in the skin?","116","7_3","0.2450045943260193","858833.25"
"rag","24","15","1","1","sampling_top_p","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: where does the last name galvez come from?","115","24_1","0.2936152219772339","1.3052644729614258"
"rag","23","15","1","1","sampling_top_p","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: where was gunsmoke to the last man filmed?","117","23_1","0.2708251476287842","1.0001113414764404"
"rag","20","15","1","1","sampling_top_p","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: who sang original i want a hippopotamus for christmas?","118","20_1","0.2364581823348999","17.812244415283203"
"rag","22","15","1","1","sampling_top_p","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: how many nuclear power plants in washington state?","116","22_1","0.238788902759552","1.2979238033294678"
"rag","11","15","1","1","sampling_top_p","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: where do the secretory cells of endocrine glands secrete their products?","119","11_5","0.17750346660614014","37.01340866088867"
"rag","21","15","1","1","sampling_top_p","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: who sang one bad apple spoils the bunch?","116","21_5","0.3298821449279785","23.461475372314453"
"rag","3","15","1","1","sampling_top_p","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: when is the world consumer right day celebrated?","115","3_8","0.2655324339866638","1580.7880859375"
"rag","4","15","1","1","sampling_top_p","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: where does safe haven take place in the book?","115","4_1","0.3247758746147156","1.4728374481201172"
"rag","14","15","1","1","sampling_top_p","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: which site of an enzyme is called allosteric site?","118","14_2","0.2588815689086914","179.55064392089844"
"rag","12","15","1","1","sampling_top_p","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: who played major hochstetter in hogan's heroes?","119","12_7","0.24329590797424316","2.160719156265259"
"rag","0","15","1","1","sampling_top_p","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: who has the most goals in soccer 2018?","115","0_1","0.2437344193458557","3.147871732711792"
"rag","1","15","1","1","sampling_top_p","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: who can be called a man of god?","115","1_1","0.26572632789611816","9.102087020874023"
"rag","10","15","1","1","sampling_top_p","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: in which year was led zepplin refused entry into singapore because the band members had long hair?","127","10_3","0.33479928970336914","107.99161529541016"
"rag","2","15","1","1","sampling_top_p","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: who sings the wizards of waverly place theme song?","119","2_1","0.2360435128211975","1.4798680543899536"
"rag","16","15","1","1","sampling_top_p","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: when was corporal punishment banned in south africa?","117","16_2","0.29013222455978394","136.8916778564453"
"rag","19","15","1","1","sampling_top_p","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: role of malonyl coa in fatty acid synthesis?","94","19_9","0.15531784296035767","1.0118759870529175"
