"id","max_length","generation_method","n_retrieval_docs","top_k","userprompt","n_tokens","doc_indices","predicted","gold","logits","bleu","rouge","correct"
"0","20","beam","2","1","Answer the question: who sang theme song for license to kill?","20","60,23","page 2)","Gladys Knight,Gladys Knight,Gladys Knight,Gladys Knight,Gladys Knight","20.84547996520996,23.916362762451172,36.57310104370117,23.541505813598633,24.324024200439453,24.123699188232422","0","0","0"
"1","20","beam","2","1","Answer the question: a concave mirror can form a real image which is a copy of an object that forms?","22","60,23","
The concave mirror is used to form a real image of an object.","inverted","30.432710647583008,12.4810209274292,12.962132453918457,44.69368362426758,45.78959655761719,29.00069808959961,39.044525146484375,50.05825424194336,42.49461364746094,32.10738754272461,22.357059478759766,43.8178825378418,49.58625030517578,52.0233154296875,36.29197311401367,41.09714889526367","0","0","0"
"2","20","beam","2","1","Answer the question: who wore number 7 for the green bay packers?","20","93,74","
The number 7 was worn by the following players:

-Raymond Berry (def","Don Majkowski,Don Majkowski,Quarterback Don Majkowski,Quarterback Don Majkowski,Don Majkowski","30.201871871948242,19.478057861328125,15.061348915100098,16.665151596069336,37.84270477294922,27.687002182006836,43.45159149169922,51.51875305175781,18.676664352416992,36.61264419555664,40.25437927246094,36.34457778930664,19.779890060424805,18.811845779418945,19.657991409301758,21.11713981628418,13.765644073486328,18.978389739990234,29.707672119140625,18.318714141845703","0","0","0"
"3","20","beam","2","1","Answer the question: where does patience is a virtue come from?","20","93,74","
The phrase ""patience is a virtue"" is a common expression that means that patience is","`` Psychomachia , ''","31.836774826049805,21.355558395385742,15.421109199523926,45.818302154541016,37.3230094909668,40.43336486816406,30.43323516845703,36.575408935546875,45.13081741333008,38.74953842163086,60.41982650756836,49.388267517089844,34.135337829589844,23.504850387573242,25.143325805664062,38.291954040527344,36.91216278076172,27.39238929748535,31.404016494750977,37.495567321777344","0","0","0"
"4","20","beam","2","1","Answer the question: who wrote ain't living long like this?","20","38,25"," album by Ray Stevens

The album was released in March of that year, and it was","Rodney Crowell","15.404057502746582,24.249671936035156,21.922636032104492,26.38504409790039,22.00377655029297,25.812118530273438,19.852773666381836,18.172327041625977,41.766510009765625,24.516592025756836,45.784393310546875,43.46199035644531,49.0478630065918,39.51709747314453,46.306968688964844,36.816795349121094,46.27006149291992,36.586769104003906,31.7235050201416,43.27614212036133","0","0","0"
"5","20","beam","2","1","Answer the question: who played the mom on what's eating gilbert grape?","20","38,25","
The movie is about a young boy who is the son of a woman with a drug addiction","Darlene Cates,Darlene Cates,Darlene Cates","28.460729598999023,19.210527420043945,14.750819206237793,42.732994079589844,30.308195114135742,40.50741195678711,38.96413040161133,30.913930892944336,30.251041412353516,39.7490234375,46.95796203613281,27.23870277404785,25.732219696044922,39.56591796875,25.24284553527832,20.30503273010254,30.109895706176758,27.102359771728516,21.755769729614258,29.05323600769043","0","0","0"
"6","20","beam","2","1","Answer the question: where do secondary xylem and phloem cells arise from?","20","92,52","
The answer is: The cells of the secondary xylem and phloem are produced","The vascular cambium,the vascular cambium,the vascular cambium,the vascular cambium","27.572586059570312,20.104433059692383,18.629188537597656,25.82056999206543,46.588436126708984,17.697032928466797,17.44874382019043,35.6777229309082,30.09623146057129,23.819562911987305,20.769704818725586,24.677785873413086,27.48104476928711,26.317363739013672,22.008092880249023,19.31260871887207,27.9081974029541,30.825057983398438,16.0601749420166,18.238370895385742","0.022267157315461233","0.125","0"
"7","20","beam","2","1","Answer the question: who added a press room to the white house?","20","92,52","
The answer is: President Franklin D.","President Richard Nixon,President Richard Nixon,Richard Nixon,Richard Nixon,President Richard Nixon","21.133445739746094,16.961589813232422,15.79758358001709,39.61454772949219,43.0273551940918,35.581111907958984,30.53514862060547,24.323240280151367,42.4385871887207,34.826141357421875","0.03759340464156993","0.13333333333333333","0"
"8","20","beam","2","1","Answer the question: nodding your head no is an example of?","20","91,33","
The answer is: nodding your head is an example of the physical action of the verb ""","a gesture","31.739154815673828,22.66490364074707,22.86351203918457,33.34504699707031,42.959617614746094,25.883533477783203,24.724729537963867,32.231956481933594,38.966461181640625,35.259700775146484,37.700294494628906,44.568973541259766,36.727989196777344,27.82020378112793,29.95579719543457,35.57301712036133,35.152671813964844,44.73225402832031,24.78641128540039,44.03714370727539","0","0","0"
"9","20","beam","2","1","Answer the question: who sings the theme tune to mum on bbc2?","20","91,33","
The theme tune to the BBC television programme The Sky at Night is a version of the song","Lulu and the Lampshades,Lulu and the Lampshades,Lulu and the Lampshades,Lulu and the Lampshades,Lulu and the Lampshades","26.149192810058594,15.01060962677002,22.78081703186035,48.21269989013672,58.48975372314453,44.766944885253906,27.21927833557129,30.636964797973633,26.41293716430664,30.580713272094727,15.694181442260742,14.669931411743164,26.094106674194336,25.95175552368164,23.367990493774414,26.38557243347168,19.915128707885742,40.097618103027344,19.051786422729492,16.34781265258789","0.014238348381961592","0.0909090909090909","0"
