"id","max_length","generation_method","n_retrieval_docs","top_k","userprompt","n_tokens","doc_indices","perplexity"
"0","20","beam","5","30","Answer the question: who sang theme song for license to kill?","1","60,23,93,74,38","31961.330078125"
"1","20","beam","5","30","Answer the question: a concave mirror can form a real image which is a copy of an object that forms?","1","60,23,93,74,38","27717.421875"
"2","20","beam","5","30","Answer the question: who wore number 7 for the green bay packers?","1","60,23,93,74,38","45220.984375"
"3","20","beam","5","30","Answer the question: where does patience is a virtue come from?","1","60,23,93,74,38","31120.73828125"
"4","20","beam","5","30","Answer the question: who wrote ain't living long like this?","1","60,23,93,74,38","65569.6328125"
"5","20","beam","5","30","Answer the question: who played the mom on what's eating gilbert grape?","1","25,92,52,91,33","5253.15234375"
"6","20","beam","5","30","Answer the question: where do secondary xylem and phloem cells arise from?","1","25,92,52,91,33","9139.529296875"
"7","20","beam","5","30","Answer the question: who added a press room to the white house?","1","25,92,52,91,33","51334.23828125"
"8","20","beam","5","30","Answer the question: nodding your head no is an example of?","1","25,92,52,91,33","53938.32421875"
"9","20","beam","5","30","Answer the question: who sings the theme tune to mum on bbc2?","1","25,92,52,91,33","7248.80419921875"
"10","20","beam","5","30","Answer the question: who played the detective in little boy blue?","1","68,31,81,63,45","68686.4453125"
"11","20","beam","5","30","Answer the question: when was the first horrid henry book written?","1","68,31,81,63,45","69967.5234375"
"12","20","beam","5","30","Answer the question: who plays grace in the secret life of the american teenager?","1","68,31,81,63,45","15453.9716796875"
"13","20","beam","5","30","Answer the question: who has won the canada open women's doubles?","1","68,31,81,63,45","19807.349609375"
"14","20","beam","5","30","Answer the question: where does the last name waller come from?","1","68,31,81,63,45","10370.48828125"
"15","20","beam","5","30","Answer the question: who wrote how do you do it by gerry and the pacemakers?","1","53,67,78,27,39","3858.41162109375"
"16","20","beam","5","30","Answer the question: what type of reproduction do whiptail lizards use?","1","53,67,78,27,39","38175.33203125"
"17","20","beam","5","30","Answer the question: who sings i don't want to be lonely?","1","53,67,78,27,39","22430.07421875"
"18","20","beam","5","30","Answer the question: who wrote song what a friend we have in jesus?","1","53,67,78,27,39","6663.05078125"
"19","20","beam","5","30","Answer the question: who is the original singer of just when i needed you most?","1","53,67,78,27,39","10163.9609375"
"20","20","beam","5","30","Answer the question: what allows chyme to enter the small intestine?","1","69,42,66,9,26","10749.9423828125"
"21","20","beam","5","30","Answer the question: where would the group bacteroids likely be found?","1","69,42,66,9,26","37090.0078125"
"22","20","beam","5","30","Answer the question: where does the last name andersen originate from?","1","69,42,66,9,26","23733.529296875"
"23","20","beam","5","30","Answer the question: how long did the democrats control the house and senate?","1","69,42,66,9,26","11862.1318359375"
"24","20","beam","5","30","Answer the question: who sang in the movie i walk the line?","1","69,42,66,9,26","31193.150390625"
"25","20","beam","5","30","Answer the question: who is the premier of northern cape 2018?","1","59,18,89,87,97","31091.1328125"
"26","20","beam","5","30","Answer the question: who owns the biggest house in beverly hills?","1","59,18,89,87,97","32032.642578125"
"27","20","beam","5","30","Answer the question: who sings god is great beer is good?","1","59,18,89,87,97","104339.140625"
"28","20","beam","5","30","Answer the question: what does the air gap do on a dishwasher?","1","59,18,89,87,97","24036.59375"
"29","20","beam","5","30","Answer the question: who is the first indian climber of mount everest?","1","59,18,89,87,97","11825.6708984375"
"30","20","beam","5","30","Answer the question: what is in a pat o brien hurricane?","1","7,44,84,96,15","35014.25390625"
"31","20","beam","5","30","Answer the question: what is the name of son of lord krishna?","1","7,44,84,96,15","9811.90625"
"32","20","beam","5","30","Answer the question: who played anna in once upon a time?","1","7,44,84,96,15","46209.82421875"
"33","20","beam","5","30","Answer the question: what is the average salary for a us congressman?","1","7,44,84,96,15","22661.9453125"
"34","20","beam","5","30","Answer the question: what type of joint connects the incus with the malleus?","1","7,44,84,96,15","21614.1796875"
"35","20","beam","5","30","Answer the question: when was the lupus foundation of america founded?","1","17,41,24,21,22","21363.42578125"
"36","20","beam","5","30","Answer the question: what started the war between us and japan?","1","17,41,24,21,22","29771.80859375"
"37","20","beam","5","30","Answer the question: who sang i put a spell on you in hocus pocus?","1","17,41,24,21,22","10416.400390625"
"38","20","beam","5","30","Answer the question: who played jennifer in back to the future?","1","17,41,24,21,22","12827.294921875"
"39","20","beam","5","30","Answer the question: where are the cardiac and vasomotor centers found?","1","17,41,24,21,22","12547.609375"
"40","20","beam","5","30","Answer the question: who was the first to say i'm going to disney world?","1","50,12,20,71,75","15633.2451171875"
"41","20","beam","5","30","Answer the question: who sings the whiskey ain't workin anymore?","1","50,12,20,71,75","55732.08984375"
"42","20","beam","5","30","Answer the question: this inventor co-created the film fred ott’s sneeze?","1","50,12,20,71,75","16858.458984375"
"43","20","beam","5","30","Answer the question: what goes on the bottom of shepherd's pie?","1","50,12,20,71,75","35817.90625"
"44","20","beam","5","30","Answer the question: who sang the most number of songs in the world?","1","50,12,20,71,75","21522.072265625"
"45","20","beam","5","30","Answer the question: who owns spirit of the suwannee music park?","1","57,36,13,55,14","11255.0615234375"
"46","20","beam","5","30","Answer the question: who is the singer of kal ho na ho?","1","57,36,13,55,14","16240.291015625"
"47","20","beam","5","30","Answer the question: what episode does marnie come back in geordie shore?","1","57,36,13,55,14","25036.06640625"
"48","20","beam","5","30","Answer the question: is jaffa cakes a biscuit or a cake?","1","57,36,13,55,14","28630.041015625"
"49","20","beam","5","30","Answer the question: who sings love will keep us alive by the eagles?","1","57,36,13,55,14","9937.7490234375"
"50","20","beam","5","30","Answer the question: who sings the theme song for the tv show cops?","1","70,2,47,77,1","26700.642578125"
"51","20","beam","5","30","Answer the question: when did 10 shilling note go out of circulation?","1","70,2,47,77,1","48845.90625"
"52","20","beam","5","30","Answer the question: who sang the songs on walk the line?","1","70,2,47,77,1","29623.232421875"
"53","20","beam","5","30","Answer the question: who sang the song should have been a cowboy?","1","70,2,47,77,1","18504.998046875"
"54","20","beam","5","30","Answer the question: who sang i ran all the way home?","1","70,2,47,77,1","30773.134765625"
"55","20","beam","5","30","Answer the question: what is the second largest country in asia?","1","16,32,54,83,51","23965.271484375"
"56","20","beam","5","30","Answer the question: who sang the theme song for the man with the golden gun?","1","16,32,54,83,51","24714.578125"
"57","20","beam","5","30","Answer the question: where does the last name roberts come from?","1","16,32,54,83,51","29690.830078125"
"58","20","beam","5","30","Answer the question: what type of plate boundary is associated with iceland and its volcanic eruptions?","1","16,32,54,83,51","6193.4404296875"
"59","20","beam","5","30","Answer the question: who is the captain of richmond football club?","1","16,32,54,83,51","32375.8515625"
