"experiment","id","max_length","n_retrieval_docs","top_k","generation_method","embedding_id","userprompt","n_tokens","docs_ids","similarities","perplexity"
"rag","60","15","1","10","beam","facebook/contriever",". Question: who sang theme song for license to kill?","1013","60_1,60_2,60_12,60_3,60_4,60_11,60_13,60_5,60_9,60_6","0.5078860521316528,0.5602269768714905,0.5655557513237,0.5878164768218994,0.5992817878723145,0.6097021698951721,0.6182766556739807,0.6292575001716614,0.6372915506362915,0.649518609046936","10.634073257446289"
"rag","23","15","1","10","beam","facebook/contriever",". Question: a concave mirror can form a real image which is a copy of an object that forms?","573","23_1,23_3,23_4,23_2,23_6,23_5","0.39632678031921387,0.4732421040534973,0.5207118391990662,0.5408962965011597,0.6757581233978271,0.6898006796836853","10.444828987121582"
"rag","93","15","1","10","beam","facebook/contriever",". Question: who wore number 7 for the green bay packers?","985","93_5,93_1,93_4,93_6,93_8,93_7,93_14,93_13,93_2,93_3","0.4588029384613037,0.4635024070739746,0.46887385845184326,0.4795876741409302,0.49753665924072266,0.5095508098602295,0.5213409662246704,0.5221155881881714,0.5539334416389465,0.5769929885864258","10.630372047424316"
"rag","74","15","1","10","beam","facebook/contriever",". Question: where does patience is a virtue come from?","325","74_1,74_2,74_3,74_4","0.33302295207977295,0.5229207277297974,0.6557490825653076,0.7368319034576416","11.370491027832031"
"rag","38","15","1","10","beam","facebook/contriever",". Question: who wrote ain't living long like this?","992","38_1,38_3,38_13,38_2,38_6,38_9,38_17,38_5,38_16,38_7","0.5749720931053162,0.5904919505119324,0.5963699221611023,0.6122268438339233,0.6256916522979736,0.6308534145355225,0.6347783207893372,0.6401336789131165,0.6483626365661621,0.6537107229232788","10.8721342086792"
"rag","25","15","1","10","beam","facebook/contriever",". Question: who played the mom on what's eating gilbert grape?","958","25_10,25_9,25_11,25_3,25_7,25_2,25_4,25_14,25_8,25_1","0.5334901809692383,0.5598495006561279,0.5940960049629211,0.6193807125091553,0.6236412525177002,0.6560710668563843,0.6612028479576111,0.6617774963378906,0.7112510204315186,0.7588723301887512","9.981135368347168"
"rag","92","15","1","10","beam","facebook/contriever",". Question: where do secondary xylem and phloem cells arise from?","1017","92_7,92_1,92_4,92_5,92_3,92_10,92_6,92_18,92_11,92_8","0.45654022693634033,0.4566715955734253,0.46412497758865356,0.4678763747215271,0.46850353479385376,0.49392861127853394,0.5004437565803528,0.5035135746002197,0.5100472569465637,0.5244178175926208","15.046732902526855"
"rag","52","15","1","10","beam","facebook/contriever",". Question: who added a press room to the white house?","1014","52_2,52_4,52_3,52_1,52_9,52_11,52_17,52_14,52_6,52_7","0.45433008670806885,0.4589279890060425,0.4596458673477173,0.4653329849243164,0.4934278130531311,0.5206719636917114,0.542536735534668,0.5585631132125854,0.5685128569602966,0.5695929527282715","13.665619850158691"
"rag","91","15","1","10","beam","facebook/contriever",". Question: nodding your head no is an example of?","990","91_7,91_8,91_3,91_2,91_5,91_4,91_1,91_6,91_10,91_9","0.4881189465522766,0.5517270565032959,0.5568267107009888,0.561204731464386,0.5630749464035034,0.587916374206543,0.5910863876342773,0.6228901743888855,0.6276301145553589,0.6523150205612183","17.19012451171875"
"rag","33","15","1","10","beam","facebook/contriever",". Question: who sings the theme tune to mum on bbc2?","1012","33_13,33_15,33_14,33_16,33_1,33_8,33_12,33_3,33_2,33_4","0.48169946670532227,0.5547855496406555,0.5672864317893982,0.5814124345779419,0.6196584105491638,0.6248455047607422,0.6388307809829712,0.6426814198493958,0.6723804473876953,0.684882402420044","9.145523071289062"
"rag","68","15","1","10","beam","facebook/contriever",". Question: who played the detective in little boy blue?","985","68_11,68_10,68_1,68_5,68_9,68_2,68_13,68_6,68_7,68_3","0.5461669564247131,0.5657380819320679,0.5674619674682617,0.5899876356124878,0.5987536311149597,0.6643192768096924,0.6770910024642944,0.7044638395309448,0.7105907201766968,0.7215871810913086","11.129631042480469"
"rag","31","15","1","10","beam","facebook/contriever",". Question: when was the first horrid henry book written?","1016","31_14,31_17,31_2,31_1,31_16,31_13,31_19,31_18,31_15,31_20","0.3987009525299072,0.4086970090866089,0.42860448360443115,0.4362698197364807,0.4368535876274109,0.452625572681427,0.45897382497787476,0.46109437942504883,0.47536134719848633,0.48011767864227295","6.746484279632568"
"rag","81","15","1","10","beam","facebook/contriever",". Question: who plays grace in the secret life of the american teenager?","1017","81_3,81_2,81_9,81_11,81_6,81_1,81_8,81_12,81_4,81_13","0.5210626721382141,0.5375759601593018,0.5426883697509766,0.5999737977981567,0.6151204705238342,0.639846920967102,0.6493061780929565,0.6598875522613525,0.6610869765281677,0.67471843957901","13.740333557128906"
"rag","63","15","1","10","beam","facebook/contriever",". Question: who has won the canada open women's doubles?","927","63_1,63_2,63_24,63_23,63_4,63_16,63_25,63_18,63_20,63_8","0.5400532484054565,0.5548351407051086,0.5638061165809631,0.5721730589866638,0.6385300755500793,0.6529332399368286,0.6636308431625366,0.6954250931739807,0.6988081932067871,0.711497962474823","29.72547721862793"
"rag","45","15","1","10","beam","facebook/contriever",". Question: where does the last name waller come from?","995","45_10,45_1,45_11,45_5,45_3,45_8,45_9,45_7,45_2,45_6","0.4454768896102905,0.5078781247138977,0.5084516406059265,0.5192884206771851,0.5204657316207886,0.5283389687538147,0.5459389686584473,0.5598070621490479,0.5732896327972412,0.5766410827636719","13.893741607666016"
"rag","53","15","1","10","beam","facebook/contriever",". Question: who wrote how do you do it by gerry and the pacemakers?","941","53_2,53_11,53_10,53_5,53_1,53_6,53_9,53_8,53_7,53_13","0.47201287746429443,0.48421454429626465,0.5410224199295044,0.558929979801178,0.5674940347671509,0.5965749025344849,0.6187160611152649,0.6496263742446899,0.6633275151252747,0.6974065899848938","10.461102485656738"
"rag","67","15","1","10","beam","facebook/contriever",". Question: what type of reproduction do whiptail lizards use?","1016","67_8,67_9,67_5,67_4,67_1,67_6,67_7,67_11,67_10,67_3","0.4429336190223694,0.4430081844329834,0.44461774826049805,0.44634515047073364,0.475899875164032,0.4835183024406433,0.4952380657196045,0.5113736391067505,0.5376348495483398,0.5822852253913879","10.115228652954102"
"rag","78","15","1","10","beam","facebook/contriever",". Question: who sings i don't want to be lonely?","963","78_1,78_3,78_11,78_2,78_10,78_9,78_12,78_8,78_13,78_7","0.570346474647522,0.5893895626068115,0.5915008783340454,0.6157087087631226,0.6334249973297119,0.6348727941513062,0.6549311280250549,0.6731380820274353,0.7102935314178467,0.7154645323753357","10.848225593566895"
"rag","27","15","1","10","beam","facebook/contriever",". Question: who wrote song what a friend we have in jesus?","1019","27_1,27_17,27_18,27_14,27_15,27_6,27_3,27_20,27_10,27_5","0.4147183895111084,0.47131824493408203,0.4833220839500427,0.5245888233184814,0.5536283254623413,0.5560498237609863,0.5676871538162231,0.5894880890846252,0.6072300672531128,0.611292839050293","15.91935920715332"
"rag","39","15","1","10","beam","facebook/contriever",". Question: who is the original singer of just when i needed you most?","950","39_1,39_10,39_16,39_8,39_3,39_2,39_19,39_13,39_5,39_15","0.48868680000305176,0.5418869853019714,0.5733132362365723,0.587286114692688,0.5893852114677429,0.5947911739349365,0.6052565574645996,0.6228883862495422,0.6278225779533386,0.6284687519073486","10.537543296813965"
