"experiment","id","max_length","n_retrieval_docs","top_k","generation_method","embedding_id","userprompt","n_tokens","docs_ids","similarities","predicted","gold","logits","bleu","rouge","correct"
"rag","60","15","5","15","sampling_top_p","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: who sang theme song for license to kill?","1512","60_3,60_2,60_5,60_1,60_12,60_4,60_13,60_7,60_6,60_11,60_8,60_9,90_3,7_2,90_4","0.281480073928833,0.28914356231689453,0.3221403956413269,0.33156049251556396,0.3549344539642334,0.36831527948379517,0.39025992155075073,0.39028996229171753,0.41237306594848633,0.42461639642715454,0.4327628016471863,0.43608415126800537,0.44422125816345215,0.4505067467689514,0.4572616219520569","I'm not sure who sang the theme song for the movie ""Lic","Gladys Knight,Gladys Knight,Gladys Knight,Gladys Knight,Gladys Knight","27.563941955566406,12.18853759765625,46.01335525512695,47.956016540527344,50.874977111816406,50.36631774902344,51.78512954711914,52.97164535522461,61.64741897583008,58.64398193359375,48.72541427612305,66.13462829589844,53.48894119262695,60.818763732910156,41.57925033569336","0","0","0"
"rag","23","15","5","15","sampling_top_p","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: a concave mirror can form a real image which is a copy of an object that forms?","1429","23_1,23_3,23_2,23_4,23_6,90_3,90_14,90_5,96_13,90_6,90_10,90_13,90_11,7_14,7_3","0.19220441579818726,0.22677737474441528,0.24518537521362305,0.31405675411224365,0.37309718132019043,0.4287586808204651,0.437613308429718,0.4414462447166443,0.44186830520629883,0.4465305209159851,0.45369619131088257,0.4546489715576172,0.4550246596336365,0.455574631690979,0.4582661986351013",") virtual image B) real image C) inverted image D) inverted","inverted","26.53536033630371,48.02309036254883,42.74530792236328,51.571441650390625,55.92333984375,38.68910598754883,39.576202392578125,42.57465362548828,52.36311721801758,39.01106262207031,34.24644088745117,37.763153076171875,53.066795349121094,41.53732681274414,32.62445831298828","0.021598265052211615","0.18181818181818182","0"
"rag","93","15","5","15","sampling_top_p","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: who wore number 7 for the green bay packers?","1481","93_1,93_5,93_3,93_8,93_4,93_7,93_2,93_6,93_11,93_14,93_10,93_13,93_9,90_3,93_12","0.2425299882888794,0.2683138847351074,0.2835202217102051,0.2857016921043396,0.2885424494743347,0.30546867847442627,0.3488689661026001,0.35662639141082764,0.3685595989227295,0.36959850788116455,0.3902820348739624,0.40062403678894043,0.40153104066848755,0.4445890188217163,0.4463452100753784",": Reggie White wore number 7 for the Green Bay Packers.","Don Majkowski,Don Majkowski,Quarterback Don Majkowski,Quarterback Don Majkowski,Don Majkowski","39.248680114746094,39.73778533935547,28.6553897857666,31.079572677612305,30.484928131103516,29.158945083618164,50.81593322753906,31.14288902282715,36.76285171508789,53.191078186035156,61.449676513671875,53.693599700927734,54.15546798706055,39.37294387817383,37.69589614868164","0","0","0"
"rag","74","15","5","15","sampling_top_p","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: where does patience is a virtue come from?","1488","74_1,74_2,90_3,7_3,7_2,74_3,90_5,7_4,90_14,90_2,90_6,7_5,90_13,90_4,7_6","0.2798387408256531,0.3585219979286194,0.4413967728614807,0.4554884433746338,0.46327513456344604,0.4659600257873535,0.4798398017883301,0.4810944199562073,0.48527997732162476,0.48738908767700195,0.4884612560272217,0.48869848251342773,0.48909562826156616,0.4987196922302246,0.5017914175987244","Patience is a virtue is a proverbial phrase referring to one","`` Psychomachia , ''","42.867637634277344,15.19875431060791,32.93535232543945,50.31380081176758,51.40433883666992,64.3895034790039,26.10200309753418,46.23696517944336,55.100460052490234,32.02997589111328,22.94161033630371,55.86514663696289,59.810707092285156,49.4275016784668,60.83308029174805","0","0","0"
"rag","38","15","5","15","sampling_top_p","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: who wrote ain't living long like this?","1482","38_13,38_1,38_3,74_1,38_16,38_7,38_2,38_14,7_5,38_15,38_6,93_14,38_17,74_3,93_7","0.33796823024749756,0.35067713260650635,0.3736215829849243,0.3873065710067749,0.39811110496520996,0.40990394353866577,0.4225307106971741,0.42409366369247437,0.43048596382141113,0.43067365884780884,0.43118393421173096,0.44637417793273926,0.4469776153564453,0.45416122674942017,0.45938408374786377"," Yahoo Answers Question: who wrote ain't living long like this?","Rodney Crowell","39.28226089477539,29.262615203857422,28.557220458984375,36.69711685180664,40.37680435180664,28.892024993896484,52.56609344482422,46.910892486572266,37.84828567504883,30.509212493896484,45.19343566894531,32.963748931884766,33.9909782409668,34.983551025390625,49.812339782714844","0","0","0"
"rag","25","15","5","15","sampling_top_p","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: who played the mom on what's eating gilbert grape?","1503","25_3,25_11,25_2,25_9,25_10,25_4,25_7,25_8,25_12,38_3,74_1,93_7,38_1,38_7,38_13","0.2798340916633606,0.3340921401977539,0.3416047692298889,0.35991883277893066,0.37705540657043457,0.3794766664505005,0.39125579595565796,0.4000352621078491,0.4004516005516052,0.408061146736145,0.4144631624221802,0.4164171814918518,0.423429012298584,0.43148839473724365,0.44013386964797974"," Quora What's Eating Gilbert Grape (1993) - IMD","Darlene Cates,Darlene Cates,Darlene Cates","31.404874801635742,23.06631851196289,24.906898498535156,17.29290771484375,37.76157760620117,44.2395133972168,56.50935363769531,35.65145492553711,25.781414031982422,26.076623916625977,28.76051139831543,29.542282104492188,27.701873779296875,26.718215942382812,33.25459671020508","0","0","0"
"rag","92","15","5","15","sampling_top_p","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: where do secondary xylem and phloem cells arise from?","1517","92_3,92_4,92_1,92_5,92_6,92_11,92_2,92_7,92_10,92_18,92_12,92_8,92_17,92_9,92_13","0.21709829568862915,0.2456304430961609,0.2476404905319214,0.255603551864624,0.2568650245666504,0.25958096981048584,0.2773702144622803,0.277901291847229,0.2787281274795532,0.28260087966918945,0.3017675280570984,0.3070867657661438,0.33520716428756714,0.3383731245994568,0.3490683436393738",": from the vascular cambium. Secondary xylem and phlo","The vascular cambium,the vascular cambium,the vascular cambium,the vascular cambium","38.378231048583984,41.074703216552734,36.279563903808594,29.758010864257812,33.17985153198242,38.31629943847656,31.864730834960938,32.6993522644043,40.38159942626953,36.865203857421875,30.051761627197266,33.345787048339844,39.76811218261719,47.45643615722656,25.66595458984375","0.06321087140417253","0.5454545454545454","0"
"rag","52","15","5","15","sampling_top_p","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: who added a press room to the white house?","1514","52_2,52_5,52_4,52_1,52_6,52_11,52_3,52_7,52_9,52_12,52_13,52_17,52_15,52_10,93_7","0.25537604093551636,0.26569461822509766,0.269695520401001,0.28285467624664307,0.30180948972702026,0.30404746532440186,0.30950772762298584,0.3278714418411255,0.3330070972442627,0.3609691262245178,0.3746108412742615,0.38154876232147217,0.38972800970077515,0.4064466953277588,0.43480217456817627","The White House Briefing Room is a small theater in the West Wing","President Richard Nixon,President Richard Nixon,Richard Nixon,Richard Nixon,President Richard Nixon","49.36146926879883,14.392889976501465,55.34150695800781,61.024986267089844,45.524757385253906,63.29336166381836,60.08244705200195,40.783329010009766,51.942264556884766,50.78508377075195,57.29616928100586,54.35142135620117,48.63359832763672,51.95992660522461,58.30495071411133","0","0","0"
"rag","91","15","5","15","sampling_top_p","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: nodding your head no is an example of?","1490","91_7,91_2,91_5,91_6,91_3,91_4,91_8,91_1,91_10,92_13,91_13,52_6,91_14,91_9,92_14","0.2760632634162903,0.28564751148223877,0.2937358021736145,0.29617321491241455,0.29850560426712036,0.30587977170944214,0.3138587474822998,0.34642553329467773,0.43053144216537476,0.45655596256256104,0.46008843183517456,0.4633629322052002,0.47087693214416504,0.48537182807922363,0.48549753427505493",": nodding your head no is an example of a nonverbal gesture","a gesture","38.58201217651367,41.282432556152344,34.41389846801758,39.26686096191406,50.16585922241211,47.670196533203125,45.43998718261719,45.804443359375,48.22875213623047,39.86440658569336,41.54225158691406,36.96894073486328,41.231781005859375,28.67142105102539,44.40483474731445","0.02383765064930276","0.3076923076923077","0"
"rag","33","15","5","15","sampling_top_p","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: who sings the theme tune to mum on bbc2?","1478","33_1,33_15,33_3,33_14,33_2,33_16,33_12,33_13,33_8,92_11,33_17,33_4,33_9,52_6,33_7","0.3727104663848877,0.37853479385375977,0.3848903179168701,0.3876948952674866,0.3877553939819336,0.3943828344345093,0.4260101318359375,0.44367992877960205,0.44945502281188965,0.450219988822937,0.4511258006095886,0.4560350179672241,0.47086888551712036,0.47427433729171753,0.4865669012069702",": lulu and the lampshades.","Lulu and the Lampshades,Lulu and the Lampshades,Lulu and the Lampshades,Lulu and the Lampshades,Lulu and the Lampshades","39.99717330932617,43.62018966674805,44.58620071411133,37.35983657836914,49.3086051940918,55.362178802490234,34.98897933959961,31.050941467285156,43.0189323425293,33.491180419921875,40.42092514038086,30.935134887695312","0.12121093525642128","1","0"
