id,max_length,generation_method,userprompt,n_tokens,predicted,gold,logits,bleu,rouge,correct,n_documents
60,15,beam,. Question: who played big enos in smokey and the bandit? Answer: ,118,"ie harwell.
(  2.01  m  )","Pat McCormick (,Pat McCormick (,Pat McCormick (,Pat McCormick (","14.882912635803223,38.71073913574219,22.995220184326172,25.027442932128906,47.79499053955078,46.85287094116211,17.73146629333496,31.656320571899414,21.748790740966797,54.43174743652344,50.51096725463867,40.389652252197266,21.620670318603516,47.77268981933594,20.904754638671875",0.0375934046415699,0.0,0,8
23,15,beam,. Question: what proposition made the insurance commissioner an elected position? Answer: ,119," Proposition 103, passed in 1988, made the insurance commissioner an elected position","Proposition 103 in,Proposition 103 in,Proposition 103 in,Proposition 103 in 1988 ,","13.061151504516602,47.524662017822266,52.42753219604492,46.35295104980469,42.18886184692383,49.20598220825195,57.314517974853516,49.6450080871582,50.17110061645508,49.520206451416016,58.24773406982422,63.705013275146484,53.35417938232422,58.91293716430664,58.72721481323242",0.0238376506493027,0.425,0,8
93,15,beam,. Question: who sings i feel love with the blue man group? Answer: ,121," thomas.
Ian Thomas (born Ian Thomas, September 12","Annette Strean provided,Annette Strean provided,Venus Hum toured,Annette providing","15.89693832397461,22.555400848388672,29.518138885498047,26.470991134643555,47.870277404785156,17.922164916992188,53.22694396972656,54.20513916015625,42.742340087890625,28.544971466064453,59.16175842285156,65.10276794433594,59.674522399902344,51.733726501464844,65.88457489013672",0.0,0.0,0,8
74,15,beam,. Question: who has the most followers on the instagram? Answer: ,121,the most followed account on instagram is kylie jenner,"Selena Gomez is,Selena Gomez </Td>,Instagram 's own account ,,Instagram 's own account ,,Instagram 's own account ,","13.145625114440918,21.36898422241211,47.06875228881836,57.939353942871094,59.24687194824219,51.85193634033203,65.45867156982422,29.143312454223633,48.45452880859375,33.95785140991211,34.17650604248047,33.70535659790039,42.97676086425781,49.799320220947266,37.886844635009766",0.030601688609851,0.1256410256410256,0,8
38,15,beam,. Question: who is the singer of kal ho na ho? Answer: ,119, Sonu Nigam ===== Sonu Nigam is an Indian singer,"Sonu Nigam .,Sonu Nigam .,also a sad version of the song in the film on which Sonu Nigam is joined by Alka Yagnik and Richa Sharma .,Sonu Nigam .,Sonu Nigam .,Alka Yagnik and,Richa Sharma .,Sonu Nigam .","14.978185653686523,42.42645263671875,52.775054931640625,59.14761734008789,48.33765411376953,28.311256408691406,21.506418228149414,45.884639739990234,44.61101150512695,58.445735931396484,44.28364562988281,46.35073471069336,49.580814361572266,51.78010559082031,41.750892639160156",0.1444977144915524,0.275,0,8
25,15,beam,. Question: who invented the cornell method of note taking? Answer: ,121,"est l. boyer.
The  Cornell  Notes  ","Walter Pauk ,,Walter Pauk ,,Walter Pauk , an education professor at Cornell University .,Walter Pauk ,,Walter Pauk ,","13.07412052154541,41.95523452758789,36.183738708496094,27.583385467529297,29.86880111694336,35.684627532958984,50.006988525390625,46.30250549316406,18.731210708618164,63.35662841796875,50.69844055175781,38.56704330444336,63.316402435302734,51.766239166259766,63.55681610107422",0.0375934046415699,0.0285714285714285,0,8
92,15,beam,. Question: where did the tradition of gift giving come from? Answer: ,122,The tradition of gift giving came from the story of the three wise men,"in ancient Rome with gift - giving during the Saturnalia holiday ,","12.795453071594238,30.581531524658203,49.745391845703125,56.87174987792969,55.58799743652344,64.05712127685547,54.69694519042969,58.818145751953125,48.6235466003418,45.30315399169922,51.949607849121094,51.950904846191406,51.4897346496582,57.28109359741211,58.432373046875",0.0231437167620374,0.25,0,8
52,15,beam,. Question: when did john hart play the lone ranger? Answer: ,127, seen him in the lone ranger movie and the lone ranger tv,"from 1952 until 1953 .,from 1952 until 1953 .,from 1952 until 1953 .,from 1952 until 1953 .,from 1952 until 1953 .","16.272342681884766,53.6961669921875,50.048301696777344,50.34855270385742,48.586090087890625,53.272987365722656,54.86681365966797,41.29883575439453,41.930118560791016,45.80705642700195,46.16741180419922,53.9060173034668,52.06741714477539,47.5872688293457,43.959564208984375",0.0,0.0,0,8
91,15,beam,. Question: what country shares borders with both belarus and romania? Answer: ,122,"land.
Ukraine  is  a  country  in  ","Ukraine borders,Ukraine borders","17.037919998168945,35.29651641845703,46.75361633300781,48.60216522216797,28.710559844970703,21.908784866333008,52.46184539794922,35.36479949951172,53.65846252441406,34.68809127807617,49.17543029785156,27.84511947631836,60.93757629394531,37.11711120605469,55.44172286987305",0.0375934046415699,0.25,0,8
33,15,beam,. Question: where does summer of the monkeys take place? Answer: ,122, read the book summer of the monkeys and i cant find the answer to,"Oklahoma after,Oklahoma after,Missouri sharecroppers,Oklahoma after,Oklahoma after,Oklahoma after","16.361717224121094,52.222084045410156,54.71617889404297,56.003482818603516,54.25938034057617,61.62574768066406,63.759212493896484,65.15859985351562,51.210121154785156,52.682655334472656,51.971134185791016,52.18257141113281,55.96734619140625,52.304691314697266,53.15917205810547",0.0,0.0,0,8
68,15,beam,. Question: who sang the song good morning good morning? Answer: ,123, been looking for this song for a long time and i cant find it,"Judy Garland and,Mickey Rooney .,Debbie Reynolds ,,Gene Kelly and,Donald O'Connor .","16.194297790527344,53.61354446411133,55.01430892944336,54.64429473876953,54.9449462890625,55.825321197509766,52.446964263916016,56.6376838684082,58.40204620361328,60.7439079284668,54.97605895996094,54.7675895690918,54.50444793701172,53.934722900390625,56.188148498535156",0.0175854218944089,0.0470588235294117,0,8
31,15,beam,. Question: when does season 8 of shameless come back? Answer: ,121," heard that it comes back on january 8th, but i dont","November 5 , 2017 .,November 5 , 2017 .,November 5 , 2017 .,November 5 , 2017 .,November 5 , 2017 .","16.762130737304688,52.44007110595703,46.956268310546875,57.54986572265625,55.623573303222656,60.89548873901367,51.992584228515625,47.868595123291016,38.374122619628906,53.04872512817383,54.09309005737305,49.028846740722656,49.565757751464844,46.52983093261719,51.218204498291016",0.0,0.0,0,8
81,15,beam,. Question: which level of weight bearing often comes with a set number of pounds? Answer: ,125,"The weight bearing level is often set by the doctor.
The weight",Partial weight - bearing :,"12.923994064331055,28.50318145751953,46.49903106689453,53.30569076538086,46.255470275878906,50.63917541503906,51.892555236816406,53.1666145324707,57.179046630859375,49.593299865722656,50.75890350341797,53.21107864379883,50.60203552246094,17.384323120117188,50.40644454956055",0.0238376506493027,0.2666666666666666,0,8
